eval_dataset,codec,param,pipeline,n_images,n_repeats,avg_bpp,avg_psnr,rate_quality_source,total_time_s,energy_cpu_total_j,energy_gpu_total_j,energy_total_j,energy_cpu_per_image_j,energy_gpu_per_image_j,energy_per_image_j,idle_cpu_w,idle_gpu_w,params_M,is_neural,execution_mode,jpeg_ai_root,conda_env
tecnick,JPEG,q=10,end_to_end_energy,24,20,0.254598148,29.307346265,paper_ready,1.435629767,25.885912648,0.0,25.885912648,0.053928984683,0.0,0.053928984683,25.060108239,81.499821916,0.0,False,,,
tecnick,JPEG,q=30,end_to_end_energy,24,20,0.463640972,34.035719872,paper_ready,1.675532071,29.073472651,0.0,29.073472651,0.06056973469,0.0,0.06056973469,25.27345139,81.645731036,0.0,False,,,
tecnick,JPEG,q=60,end_to_end_energy,24,20,0.706314352,36.579166412,paper_ready,1.844320185,31.204440773,0.0,31.204440773,0.06500925161,0.0,0.06500925161,25.381744237,81.308487135,0.0,False,,,
tecnick,JPEG,q=85,end_to_end_energy,24,20,1.220063889,39.538661957,paper_ready,2.161948845,32.155373657,0.0,32.155373657,0.066990361785,0.0,0.066990361785,22.218336227,48.426303444,0.0,False,,,
tecnick,JXL,d=1.0,end_to_end_energy,24,10,0.865503472,39.673771699,paper_ready,22.120677788,442.115578747,0.0,442.115578747,1.842148244781,0.0,1.842148244781,20.618294865,38.946905034,0.0,False,,,
tecnick,JXL,d=3.0,end_to_end_energy,24,10,0.429364815,36.315925837,paper_ready,20.676414369,415.527081378,0.0,415.527081378,1.731362839074,0.0,1.731362839074,20.791529854,38.372588467,0.0,False,,,
tecnick,JXL,d=7.0,end_to_end_energy,24,10,0.242737037,33.730640252,paper_ready,27.281679519,575.316888874,0.0,575.316888874,2.397153703642,0.0,2.397153703642,20.405381595,38.44990942,0.0,False,,,
tecnick,JXL,d=12.0,end_to_end_energy,24,10,0.167319676,31.920763413,paper_ready,26.934840884,564.837615005,0.0,564.837615005,2.35349006252,0.0,2.35349006252,20.543149127,38.035116323,0.0,False,,,
tecnick,HEVC,crf=15,end_to_end_energy,24,3,1.77721412,45.832467715,paper_ready,16.034737591,750.986986487,0.0,750.986986487,10.430374812324,0.0,10.430374812324,20.575650873,38.40743223,0.0,False,,,
tecnick,HEVC,crf=25,end_to_end_energy,24,3,0.668725694,40.717680295,paper_ready,11.28092578,560.443926843,0.0,560.443926843,7.783943428375,0.0,7.783943428375,20.59231172,38.104187187,0.0,False,,,
tecnick,HEVC,crf=35,end_to_end_energy,24,3,0.232886111,35.201428731,paper_ready,8.4981928,438.053377391,0.0,438.053377391,6.084074685989,0.0,6.084074685989,20.764492965,38.39927858,0.0,False,,,
tecnick,HEVC,crf=45,end_to_end_energy,24,3,0.080250694,29.886663437,paper_ready,7.035606651,368.370488652,0.0,368.370488652,5.116256786829,0.0,5.116256786829,20.557696091,38.069571787,0.0,False,,,
tecnick,Ballé,q=1,actual_bitstream_energy,24,5,0.094727778,31.318379005,paper_ready,10.22097818,234.082610233,772.793766822,1006.876377055,1.950688418609,6.439948056849,8.390636475458,25.162507564,81.174347363,5.075843,True,,,
tecnick,Ballé,q=3,actual_bitstream_energy,24,5,0.175806481,34.754519145,paper_ready,10.699209787,242.464246399,772.883833023,1015.348079422,2.020535386661,6.440698608522,8.461233995183,25.141732423,81.790915815,5.075843,True,,,
tecnick,Ballé,q=5,actual_bitstream_energy,24,5,0.32927963,38.072576046,paper_ready,10.699543748,240.450318693,765.319880254,1005.770198947,2.003752655772,6.377665668784,8.381418324556,25.158719909,81.974534653,5.075843,True,,,
tecnick,Ballé,q=7,actual_bitstream_energy,24,5,0.608449074,41.343539079,paper_ready,18.024256112,383.904056999,1329.99312415,1713.897181149,3.199200474994,11.08327603458,14.282476509574,25.150548859,82.022240844,11.816323,True,,,
tecnick,Cheng,q=1,actual_bitstream_energy,24,1,0.068703704,32.521018982,paper_ready,300.504209068,5362.370740806,10690.799152279,16053.169893085,223.432114200269,445.44996467828,668.882078878548,25.427636015,81.934668816,13.183293,True,,,
tecnick,Cheng,q=3,actual_bitstream_energy,24,1,0.129512963,35.508414586,paper_ready,301.062710543,5509.98853116,10551.053291847,16061.041823007,229.582855465001,439.627220493617,669.210075958618,25.022049832,82.266510733,13.183293,True,,,
tecnick,Cheng,q=5,actual_bitstream_energy,24,1,0.259525926,38.288658937,paper_ready,305.496441515,5683.064673787,11486.715911092,17169.780584879,236.794361407811,478.613162962158,715.407524369969,25.04182021,82.23578633,29.631788,True,,,
tecnick,ELIC,lam=0.008,actual_bitstream_energy,24,3,0.050794444,31.889591138,paper_ready,22.647389522,588.483336332,3049.730988354,3638.214324686,8.173379671275,42.357374838251,50.530754509527,25.225241925,84.750298032,33.792771,True,,,
tecnick,ELIC,lam=0.032,actual_bitstream_energy,24,3,0.098944444,35.005222877,paper_ready,22.88926162,603.406254242,3075.492375046,3678.898629287,8.380642420025,42.715171875635,51.09581429566,25.09055776,82.280182569,33.792771,True,,,
tecnick,ELIC,lam=0.150,actual_bitstream_energy,24,3,0.208825926,38.65329361,paper_ready,23.340589971,606.41963694,3131.279988247,3737.699625186,8.422494957499,43.489999836757,51.912494794257,25.231305926,82.204006588,33.792771,True,,,
tecnick,ELIC,lam=0.450,actual_bitstream_energy,24,3,0.352161111,41.335029125,paper_ready,23.846906058,620.218065775,3014.017393008,3634.235458783,8.614139802426,41.861352680673,50.4754924831,24.93386789,84.404643609,33.792771,True,,,
tecnick,TCM,lam=0.0035,actual_bitstream_energy,24,3,0.1,35.201850335,paper_ready,21.520275568,427.797512268,4870.90238137,5298.699893639,5.941632114839,67.651421963475,73.593054078314,25.103551347,90.312859261,45.180752,True,,,
tecnick,TCM,lam=0.013,actual_bitstream_energy,24,3,0.195924074,38.236840884,paper_ready,21.977140593,437.870058912,4922.873331481,5360.743390393,6.081528595996,68.373240715013,74.454769311009,25.023795692,89.735316575,45.180752,True,,,
tecnick,DCAE,lam=0.0035,actual_bitstream_energy,24,3,0.082448148,35.416867177,paper_ready,25.174772044,494.200798595,7760.556480788,8254.757279383,6.863899980492,107.785506677609,114.649406658101,25.1010534,91.321641967,119.400351,True,,,
tecnick,DCAE,lam=0.013,actual_bitstream_energy,24,3,0.179559259,38.748909314,paper_ready,25.462124919,488.115892025,7734.323182727,8222.439074751,6.779387389233,107.421155315648,114.200542704881,25.521978273,93.428094664,119.400351,True,,,
tecnick,JPEG_AI,target_bpp=0.15,fair_inprocess_end_to_end_energy,24,1,0.152389583,33.930796862,paper_ready,383.246764137,5886.275512406,0.0,5886.275512406,245.261479683563,0.0,245.261479683563,24.836642663,79.947966042,0.0,True,persistent_python_process_reference_software,/home/user/tesi/external_codecs/jpeg-ai-reference-software,jpeg_ai_vm
tecnick,JPEG_AI,target_bpp=0.25,fair_inprocess_end_to_end_energy,24,1,0.256696528,36.296404123,paper_ready,365.642066461,7357.069759319,0.0,7357.069759319,306.544573304951,0.0,306.544573304951,20.162524534,37.705471709,0.0,True,persistent_python_process_reference_software,/home/user/tesi/external_codecs/jpeg-ai-reference-software,jpeg_ai_vm
tecnick,JPEG_AI,target_bpp=0.35,fair_inprocess_end_to_end_energy,24,1,0.35265787,37.938688358,paper_ready,315.857028869,6533.767262266,0.0,6533.767262266,272.240302594399,0.0,272.240302594399,20.168070913,37.425561518,0.0,True,persistent_python_process_reference_software,/home/user/tesi/external_codecs/jpeg-ai-reference-software,jpeg_ai_vm
tecnick,JPEG_AI,target_bpp=0.5,fair_inprocess_end_to_end_energy,24,1,0.50433588,39.728114208,paper_ready,352.668242492,7035.385100841,0.0,7035.385100841,293.141045868369,0.0,293.141045868369,20.304582424,37.234789709,0.0,True,persistent_python_process_reference_software,/home/user/tesi/external_codecs/jpeg-ai-reference-software,jpeg_ai_vm
