eval_dataset,codec,param,pipeline,bpp,psnr,ssim,ms_ssim,lpips,dists,fsim,gmsd,vif,haarpsi,dss,mdsi,ssimulacra2,time_ms
clic2020,JXL,d=1.0,end_to_end,1.4893709592601472,37.809195041656494,0.9943475176890691,0.9908319165309271,0.03681881438630318,0.010089382529258683,0.9995256289839745,0.004162513224097538,0.7809779842694601,0.979855976998806,0.9944797356923422,0.10069520150621729,83.62937849624497,199.0996526668217
clic2020,TCM,lam=0.0035,actual_bitstream,0.1978785850013687,31.792837619781494,0.9784701888759931,0.9613199681043625,0.23252926021814344,0.07954119145870205,0.9910331045587858,0.05349977128207679,0.5002669654786587,0.8460971986254057,0.8623745739459991,0.19868724110225833,28.23178287824121,500.1606656666506
clic2020,TCM,lam=0.013,actual_bitstream,0.412746587604049,34.773141622543335,0.9903330728411674,0.9804677640398344,0.14849586179479954,0.04445212086041764,0.9966688876350721,0.023585016412349988,0.6023325125376383,0.9251256386439005,0.9497007305423418,0.15445121501882866,55.57056435329133,507.4021773325512
div2k_valid,Ballé,q=1,actual_bitstream,0.12705948008416357,28.51845685640971,0.962037039299806,0.9377369756499926,0.30715166777372355,0.09854272007942196,0.9827959537506104,0.08466818680365874,0.4260351322591305,0.7574954554438591,0.7610578338305155,0.22840990188221133,5.8228445379538,174.98391616572917
div2k_valid,Ballé,q=3,actual_bitstream,0.27547514295979797,31.750362078348797,0.983773817618688,0.9689306989312172,0.2025235566931466,0.05237052341302231,0.9932608256737391,0.04261918327150241,0.5378380405406157,0.8688135246435801,0.8946196188529333,0.180023742839694,38.56752614703854,177.9815607890972
div2k_valid,Ballé,q=5,actual_bitstream,0.5496261616613175,34.989274660746254,0.9937259952227274,0.9855402360359827,0.12104201425487793,0.021552026271820023,0.9975718557834625,0.016532371519133397,0.6481993782023588,0.940807985762755,0.967229483028253,0.13716634300847844,63.513699854411016,187.13654591798937
div2k_valid,Ballé,q=7,actual_bitstream,1.0705367801782046,38.56686210632324,0.9974343081315359,0.9931950817505518,0.06263333380532755,0.010404236614704075,0.999144380291303,0.006501148920506204,0.7672099272410074,0.9770191783706347,0.9872643003861109,0.10626298685868578,77.93219561028744,312.10247145948716
div2k_valid,Cheng,q=1,actual_bitstream,0.11139775691801734,29.26547686258952,0.9662191147605578,0.9435922106107076,0.2897946713492274,0.0942905967434247,0.9838863859574,0.08050921652466055,0.4494025607903798,0.776294487218062,0.7605781878034273,0.226689005891482,9.915193064391225,25026.57267783252
div2k_valid,Cheng,q=3,actual_bitstream,0.2323670741081849,32.14128255844116,0.985239714384079,0.9712094143033028,0.19135498162358996,0.04915723204612727,0.9939489910999934,0.03993118546592688,0.5517099077502886,0.8766681750615438,0.9013567815224329,0.17790294811129567,41.81709109605741,25011.725141292118
div2k_valid,Cheng,q=5,actual_bitstream,0.4857976305418197,35.26425417264303,0.9937662755449613,0.985792338848114,0.11581478749091423,0.023687116801738697,0.9975838313500086,0.01691374838507419,0.6579461544752121,0.9424382150173187,0.9639473259449005,0.1388375532502929,63.89387259911823,25027.335417292004
