dataset,codec,param,image,width,height,pixels,bpp,pipeline,time_ms,energy_total_j_x,energy_net_j,params_M,psnr,ssim,ms_ssim,lpips,dists,fsim,gmsd,vif,haarpsi,dss,mdsi,ssimulacra2,file_bytes,time_compress_ms,time_decompress_ms,energy_compress_j,energy_decompress_j,vram_enc_mb,vram_dec_mb,note,eval_dataset,energy_pipeline,energy_per_image_j,energy_cpu_per_image_j,energy_gpu_per_image_j,energy_total_j_y,total_time_s,energy_n_images,n_repeats
kodak,Ballé,q=1,kodim11.png,768.0,512.0,393216.0,0.1236979166666666,actual_bitstream,26.55696199508384,,,5.076,27.186256408691406,0.8203377723693848,0.901727557182312,0.417004644870758,0.1857333183288574,0.914216160774231,0.1197378113865852,0.3564531803131103,0.7110360264778137,0.6318547129631042,0.3410266041755676,-10.373493217206176,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim12.png,768.0,512.0,393216.0,0.085693359375,actual_bitstream,26.45842099445872,,,5.076,30.054533004760746,0.8435890078544617,0.9118027687072754,0.4229315817356109,0.1836820840835571,0.8873595595359802,0.1107523888349533,0.3814741373062134,0.7445403933525085,0.6502894759178162,0.3305268585681915,-4.502668027370589,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim13.png,768.0,512.0,393216.0,0.23291015625,actual_bitstream,27.59465199778788,,,5.076,22.720291137695312,0.7679621577262878,0.8782686591148376,0.5769349932670593,0.22803795337677,0.9167821407318116,0.1237770840525627,0.2711547613143921,0.6916177868843079,0.6592270135879517,0.347440630197525,-17.76971371688505,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim14.png,768.0,512.0,393216.0,0.1598307291666666,actual_bitstream,26.81519399629905,,,5.076,25.952016830444336,0.8033246397972107,0.8975878953933716,0.4574660956859588,0.1708773374557495,0.912822961807251,0.1088616326451301,0.3275696039199829,0.7030225396156311,0.7136807441711426,0.3403014540672302,-10.309999033769571,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim15.png,768.0,512.0,393216.0,0.091552734375,actual_bitstream,26.697403998696245,,,5.076,29.017269134521484,0.8667513132095337,0.9293402433395386,0.3544327318668365,0.1803796291351318,0.920059859752655,0.1002795100212097,0.4137404859066009,0.7537895441055298,0.6724736094474792,0.323691576719284,-3.025655434123252,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim16.png,768.0,512.0,393216.0,0.0816243489583333,actual_bitstream,26.77184400090482,,,5.076,28.29879379272461,0.8148319125175476,0.898106038570404,0.4758037328720093,0.2242846488952636,0.8931949734687805,0.1169118210673332,0.333981305360794,0.6781527996063232,0.6470006704330444,0.3418929874897003,-18.648590969702752,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim17.png,512.0,768.0,393216.0,0.0965169270833333,actual_bitstream,26.45231099450029,,,5.076,28.895139694213867,0.8685331344604492,0.932182252407074,0.3212881684303283,0.189404010772705,0.9216139912605286,0.0924981161952018,0.4026923775672912,0.7394415140151978,0.7168047428131104,0.3214354217052459,2.9452080921856094,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim18.png,512.0,768.0,393216.0,0.157470703125,actual_bitstream,26.76283298933413,,,5.076,25.475017547607425,0.8035502433776855,0.89492267370224,0.4491145014762878,0.1868078112602234,0.9086787700653076,0.1128899231553077,0.3073434829711914,0.6908925771713257,0.7007713913917542,0.3398251235485077,-13.11007895164488,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim19.png,512.0,768.0,393216.0,0.1119791666666666,actual_bitstream,26.62746200803668,,,5.076,27.78913116455078,0.8330830335617065,0.9064893126487732,0.4273346066474914,0.174664556980133,0.9004819989204407,0.1171556487679481,0.394932359457016,0.7409212589263916,0.6123902797698975,0.336651474237442,-17.34657008384893,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim20.png,768.0,512.0,393216.0,0.0908203125,actual_bitstream,26.84719499666244,,,5.076,29.54314994812012,0.901556670665741,0.9483795166015624,0.2355606853961944,0.1299487948417663,0.9408764243125916,0.0904876887798309,0.4044581353664398,0.7799594402313232,0.6876569986343384,0.3101807236671448,7.987058314324969,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
