image,dataset,codec,param,bpp,psnr,lpips,enc_ms,status
/home/user/tesi/datasets/clic2020/train/bartlomiej-jacak-114470.png,clic_train,JXL,3.0,0.3272,37.89,0.1851,155.82,OK
/home/user/tesi/datasets/clic2020/train/bartosz-bak-254.png,clic_train,JXL,12.0,0.4643,22.73,0.2841,101.77,OK
/home/user/tesi/datasets/clic2020/train/bec-brown-3490.png,clic_train,JXL,3.0,0.3081,38.51,0.1628,126.9,OK
/home/user/tesi/datasets/clic2020/train/ben-dumond-13830.png,clic_train,JXL,3.0,0.3706,36.08,0.051,144.68,OK
/home/user/tesi/datasets/clic2020/train/benjamin-combs-27619.png,clic_train,JXL,3.0,0.4374,34.32,0.3428,158.32,OK
/home/user/tesi/datasets/clic2020/train/benjamin-combs-28880.png,clic_train,JXL,7.0,0.4625,27.96,0.1314,160.43,OK
/home/user/tesi/datasets/clic2020/train/benjamin-combs-28896.png,clic_train,JXL,1.0,0.4673,41.28,0.1397,159.93,OK
/home/user/tesi/datasets/clic2020/train/bertrand-zuchuat-641.png,clic_train,JXL,3.0,0.3349,38.92,0.1402,154.87,OK
/home/user/tesi/datasets/clic2020/train/beto-galetto-200.png,clic_train,Neural,6.0,0.33668,37.2548,0.24067,3080.33,OK
/home/user/tesi/datasets/clic2020/train/biegun-wschodni-8636.png,clic_train,Neural,4.0,0.35493,32.3961,0.27634,6025.03,OK
/home/user/tesi/datasets/clic2020/train/bino-storyteller-33047.png,clic_train,Neural,6.0,0.47816,36.8159,0.28095,116.24,OK
/home/user/tesi/datasets/clic2020/train/bjorn-simon-418.png,clic_train,Neural,6.0,0.3429,37.1833,0.30613,5159.93,OK
/home/user/tesi/datasets/clic2020/train/blake-richard-verdoorn-21434.png,clic_train,HEVC,25.0,0.32232,36.5944,0.19692,2070.87,OK
/home/user/tesi/datasets/clic2020/train/blake-richard-verdoorn-25009.png,clic_train,JXL,1.0,0.2855,44.28,0.1484,157.48,OK
/home/user/tesi/datasets/clic2020/train/bonnie-meisels-437.png,clic_train,JXL,7.0,0.4343,28.85,0.1477,153.54,OK
/home/user/tesi/datasets/clic2020/train/brandon-lam-29892.png,clic_train,JPEG,60.0,0.41145,37.7561,0.09378,347.42,OK
/home/user/tesi/datasets/clic2020/train/brian-erickson-54417.png,clic_train,JXL,1.0,0.4424,41.28,0.1036,135.26,OK
/home/user/tesi/datasets/clic2020/train/brownie-768.png,clic_train,Neural,2.0,0.40551,26.3507,0.39199,4065.49,OK
/home/user/tesi/datasets/clic2020/train/buzo-jesus-190.png,clic_train,JPEG,30.0,0.41564,33.8879,0.09527,75.55,OK
/home/user/tesi/datasets/clic2020/train/c-ma-435.png,clic_train,JXL,3.0,0.4357,36.14,0.054,13.13,OK
/home/user/tesi/datasets/clic2020/train/caleb-george-480.png,clic_train,JXL,7.0,0.3039,32.13,0.1992,88.67,OK
/home/user/tesi/datasets/clic2020/train/caleb-ralston-21604.png,clic_train,JXL,3.0,0.4814,35.29,0.1467,35.5,OK
/home/user/tesi/datasets/clic2020/train/cameron-kirby-49742.png,clic_train,JPEG,60.0,0.42702,37.8493,0.14972,362.32,OK
/home/user/tesi/datasets/clic2020/train/carli-jeen-365.png,clic_train,JXL,1.0,0.3798,44.0,0.1004,148.61,OK
/home/user/tesi/datasets/clic2020/train/carli-jeen-431.png,clic_train,JXL,1.0,0.4502,42.82,0.0951,159.71,OK
/home/user/tesi/datasets/clic2020/train/caroline-sada-92.png,clic_train,Neural,2.0,0.33214,26.2605,0.29614,1833.51,OK
/home/user/tesi/datasets/clic2020/train/caryle-barton-56255.png,clic_train,HEVC,25.0,0.49712,33.9031,0.38758,1229.94,OK
/home/user/tesi/datasets/clic2020/train/casey-fyfe-998.png,clic_train,Neural,6.0,0.46114,36.5082,0.21133,7371.19,OK
/home/user/tesi/datasets/clic2020/train/cayton-heath-60402.png,clic_train,JXL,3.0,0.4134,33.21,0.1986,156.48,OK
/home/user/tesi/datasets/clic2020/train/charles-forerunner-1727.png,clic_train,JXL,3.0,0.3352,36.67,0.1828,156.63,OK
/home/user/tesi/datasets/clic2020/train/charles-forerunner-378.png,clic_train,JXL,3.0,0.4072,37.39,0.0836,156.05,OK
/home/user/tesi/datasets/clic2020/train/charles-l-309.png,clic_train,JXL,7.0,0.4607,28.11,0.1767,21.27,OK
/home/user/tesi/datasets/clic2020/train/charles-s-524.png,clic_train,JXL,3.0,0.4641,33.96,0.1259,156.87,OK
/home/user/tesi/datasets/clic2020/train/chelsea-francis-3458.png,clic_train,JPEG,60.0,0.46823,37.3962,0.16536,373.77,OK
