image,dataset,winner_codec,winner_param,winner_bpp,winner_psnr,winner_lpips,winner_enc_ms,jpeg_lpips,hevc_lpips,balle_lpips,cheng_lpips,note
/home/user/tesi/datasets/clic2020/train/carli-jeen-365.png,clic_train,Balle2018,6,0.1579,42.4662,0.153,111.0,0.0258,0.1342,0.153,0.1437,
/home/user/tesi/datasets/clic2020/train/carli-jeen-431.png,clic_train,Balle2018,6,0.1846,41.6363,0.1512,111.6,0.028,0.1254,0.1512,0.1382,
/home/user/tesi/datasets/clic2020/train/caroline-sada-92.png,clic_train,Balle2018,2,0.3139,25.1661,0.3458,20.1,0.0191,0.1239,0.0783,0.0831,
/home/user/tesi/datasets/clic2020/train/caryle-barton-56255.png,clic_train,Balle2018,2,0.117,8.5833,1.0992,53.5,0.0323,0.3876,0.4032,0.391,
/home/user/tesi/datasets/clic2020/train/casey-fyfe-998.png,clic_train,Balle2018,4,0.1848,33.7274,0.4361,69.7,0.0298,0.3171,0.2155,0.2113,
/home/user/tesi/datasets/clic2020/train/cayton-heath-60402.png,clic_train,Balle2018,4,0.294,32.765,0.3583,71.5,0.0176,0.2396,0.1209,0.1184,
/home/user/tesi/datasets/clic2020/train/charles-forerunner-1727.png,clic_train,Balle2018,6,0.3462,38.4901,0.1896,116.7,0.0281,0.192,0.1896,0.1762,
/home/user/tesi/datasets/clic2020/train/charles-forerunner-378.png,clic_train,Balle2018,6,0.4952,39.11,0.1132,117.7,0.0065,0.1841,0.1132,0.0959,
/home/user/tesi/datasets/clic2020/train/charles-l-309.png,clic_train,Balle2018,2,0.2743,27.7428,0.2125,12.1,0.0099,0.0799,0.0388,0.0323,
/home/user/tesi/datasets/clic2020/train/charles-s-524.png,clic_train,Balle2018,4,0.3736,33.8251,0.1651,71.6,0.0152,0.1554,0.1056,0.101,
/home/user/tesi/datasets/clic2020/train/chelsea-francis-3458.png,clic_train,Balle2018,6,0.3095,40.5526,0.1894,114.7,0.0298,0.1766,0.1894,0.1802,
/home/user/tesi/datasets/clic2020/train/chloe-benko-prieur-162.png,clic_train,Balle2018,4,0.4259,30.006,0.4335,72.2,0.0168,0.2823,0.0877,0.1129,
/home/user/tesi/datasets/clic2020/train/chris-adams-237.png,clic_train,Balle2018,2,0.3998,24.6338,0.3057,37.5,0.0148,0.1956,0.125,0.1286,
/home/user/tesi/datasets/clic2020/train/chris-becker-52648.png,clic_train,Balle2018,6,0.4104,39.8943,0.0673,112.2,0.0177,0.0761,0.0673,0.0601,
/home/user/tesi/datasets/clic2020/train/chris-greenhow-135337.png,clic_train,Balle2018,4,0.4197,33.0122,0.1802,76.6,0.0168,0.1648,0.1242,0.1225,
/home/user/tesi/datasets/clic2020/train/christian-holzinger-1262.png,clic_train,Balle2018,6,0.4413,39.3088,0.084,115.4,0.013,0.1043,0.084,0.071,
/home/user/tesi/datasets/clic2020/train/christopher-campbell-30253.png,clic_train,Balle2018,6,0.1795,42.5028,0.2191,94.3,0.0112,0.2942,0.2191,0.2081,
/home/user/tesi/datasets/clic2020/train/christopher-skor-1894.png,clic_train,Balle2018,6,0.2517,39.5555,0.0961,92.0,0.0251,0.057,0.0961,0.0992,
/home/user/tesi/datasets/clic2020/train/chuttersnap-255210.png,clic_train,Balle2018,2,0.3166,7.9835,0.7813,68.6,0.0124,0.064,0.6195,0.0349,
/home/user/tesi/datasets/clic2020/train/cierra-59.png,clic_train,Balle2018,6,0.4218,39.732,0.0448,14.6,0.0083,0.0996,0.0448,0.0417,
/home/user/tesi/datasets/clic2020/train/clark-street-mercantile-33932.png,clic_train,Balle2018,6,0.4894,37.2884,0.1437,117.7,0.02,0.1665,0.1437,0.1279,
/home/user/tesi/datasets/clic2020/train/claudio-testa-135408.png,clic_train,Balle2018,2,0.1874,12.1227,0.6912,63.8,0.0193,0.1487,0.6912,0.1077,
/home/user/tesi/datasets/clic2020/train/clem-onojeghuo-91150.png,clic_train,Balle2018,6,0.4467,38.2714,0.0891,118.2,0.0181,0.0887,0.0891,0.0758,
/home/user/tesi/datasets/clic2020/train/cole-patrick-404.png,clic_train,Balle2018,4,0.3816,33.445,0.2318,47.0,0.0346,0.1717,0.124,0.1062,
/home/user/tesi/datasets/clic2020/train/cornelia-schutz-338.png,clic_train,Balle2018,2,0.3109,26.9075,0.3292,17.2,0.0244,0.0839,0.0552,0.0598,
/home/user/tesi/datasets/clic2020/train/cosmic-timetraveler-29758.png,clic_train,Balle2018,4,0.3091,34.4993,0.1384,68.3,0.0148,0.1101,0.064,0.0583,
/home/user/tesi/datasets/clic2020/train/cosmic-timetraveler-39770.png,clic_train,Balle2018,4,0.3091,34.5127,0.2095,73.1,0.0232,0.1819,0.149,0.1442,
/home/user/tesi/datasets/clic2020/train/cristian-baron-27348.png,clic_train,Balle2018,2,0.0571,38.1041,0.0942,55.9,0.0225,0.0765,0.0942,0.0837,
/home/user/tesi/datasets/clic2020/train/cristian-moscoso-61.png,clic_train,Balle2018,6,0.3778,40.5489,0.1008,113.8,0.0143,0.157,0.1008,0.0971,
/home/user/tesi/datasets/clic2020/train/cristina-gottardi-177252.png,clic_train,Balle2018,4,0.3296,33.2065,0.2534,74.0,0.0327,0.1789,0.1514,0.126,
/home/user/tesi/datasets/clic2020/train/crucifix-jean-luc-1837.png,clic_train,Balle2018,2,0.0956,31.4485,0.3614,61.4,0.0299,0.1714,0.3614,0.181,
/home/user/tesi/datasets/clic2020/train/dakota-roos-1195.png,clic_train,Balle2018,2,0.2908,27.092,0.4079,72.0,0.021,0.1475,0.0753,0.0587,
/home/user/tesi/datasets/clic2020/train/dan-carlson-88563.png,clic_train,Balle2018,6,0.2466,41.7163,0.0989,115.1,0.0167,0.0827,0.0989,0.0911,
/home/user/tesi/datasets/clic2020/train/daniel-beilinson-1695.png,clic_train,Balle2018,4,0.4699,27.6527,0.3787,55.8,0.0341,0.2253,0.3787,0.1124,
/home/user/tesi/datasets/clic2020/train/daniel-genser-70.png,clic_train,Balle2018,6,0.4387,38.2178,0.1706,31.6,0.0352,0.1741,0.1706,0.1313,
/home/user/tesi/datasets/clic2020/train/daniel-robert-159.png,clic_train,Balle2018,6,0.4495,37.2284,0.2452,116.2,0.0211,0.2655,0.2452,0.255,
/home/user/tesi/datasets/clic2020/train/daniela-cuevas-21225.png,clic_train,Balle2018,2,0.2268,27.8453,0.207,68.7,0.0153,0.0511,0.0396,0.0332,
