image,dataset,codec,param,bpp,psnr,lpips,enc_ms,status
/home/user/tesi/datasets/clic2020/train/caleb-ralston-21604.png,clic_train,Neural,6,0.4935,36.8586,0.11274,1841.89,OK
/home/user/tesi/datasets/clic2020/train/cameron-kirby-49742.png,clic_train,JPEG,60,0.42702,37.8493,0.14972,362.32,OK
/home/user/tesi/datasets/clic2020/train/carli-jeen-365.png,clic_train,HEVC,25,0.15556,40.7533,0.13421,1921.07,OK
/home/user/tesi/datasets/clic2020/train/carli-jeen-431.png,clic_train,HEVC,25,0.17166,40.2285,0.12542,2049.05,OK
/home/user/tesi/datasets/clic2020/train/caroline-sada-92.png,clic_train,Neural,2,0.33214,26.2605,0.29614,1833.51,OK
/home/user/tesi/datasets/clic2020/train/caryle-barton-56255.png,clic_train,HEVC,25,0.49712,33.9031,0.38758,1229.94,OK
/home/user/tesi/datasets/clic2020/train/casey-fyfe-998.png,clic_train,Neural,6,0.46114,36.5082,0.21133,7371.19,OK
/home/user/tesi/datasets/clic2020/train/cayton-heath-60402.png,clic_train,JPEG,30,0.42788,31.5429,0.24909,305.11,OK
/home/user/tesi/datasets/clic2020/train/charles-forerunner-1727.png,clic_train,HEVC,25,0.2902,36.1335,0.19203,1763.18,OK
/home/user/tesi/datasets/clic2020/train/charles-forerunner-378.png,clic_train,JPEG,30,0.46125,33.9859,0.09628,357.27,OK
/home/user/tesi/datasets/clic2020/train/charles-l-309.png,clic_train,Neural,2,0.2404,28.5616,0.1678,1004.64,OK
/home/user/tesi/datasets/clic2020/train/charles-s-524.png,clic_train,JPEG,30,0.46511,31.7177,0.14217,360.75,OK
/home/user/tesi/datasets/clic2020/train/chelsea-francis-3458.png,clic_train,JPEG,60,0.46823,37.3962,0.16536,373.77,OK
/home/user/tesi/datasets/clic2020/train/chloe-benko-prieur-162.png,clic_train,Neural,4,0.39953,30.3771,0.41699,7421.31,OK
/home/user/tesi/datasets/clic2020/train/chris-adams-237.png,clic_train,Neural,2,0.45372,26.2239,0.25171,3500.36,OK
/home/user/tesi/datasets/clic2020/train/chris-becker-52648.png,clic_train,HEVC,25,0.43258,36.0928,0.07611,1561.66,OK
/home/user/tesi/datasets/clic2020/train/chris-greenhow-135337.png,clic_train,Neural,4,0.41968,33.0123,0.18023,76.52,OK
/home/user/tesi/datasets/clic2020/train/christian-holzinger-1262.png,clic_train,HEVC,25,0.38785,35.6973,0.10427,1768.95,OK
/home/user/tesi/datasets/clic2020/train/christopher-campbell-30253.png,clic_train,JPEG,60,0.35572,41.826,0.05345,257.51,OK
/home/user/tesi/datasets/clic2020/train/christopher-skor-1894.png,clic_train,HEVC,25,0.20385,38.248,0.05701,1763.02,OK
/home/user/tesi/datasets/clic2020/train/chuttersnap-255210.png,clic_train,HEVC,35,0.32899,24.6013,0.18896,1386.56,OK
/home/user/tesi/datasets/clic2020/train/cierra-59.png,clic_train,JPEG,30,0.44768,34.5242,0.07341,20.68,OK
/home/user/tesi/datasets/clic2020/train/clark-street-mercantile-33932.png,clic_train,JPEG,30,0.44233,32.9702,0.15764,326.07,OK
/home/user/tesi/datasets/clic2020/train/claudio-testa-135408.png,clic_train,Neural,4,0.3436,32.0041,0.1854,6697.99,OK
/home/user/tesi/datasets/clic2020/train/clem-onojeghuo-91150.png,clic_train,HEVC,25,0.4344,35.7085,0.08869,1646.6,OK
/home/user/tesi/datasets/clic2020/train/cole-patrick-404.png,clic_train,Neural,4,0.33694,33.7996,0.20845,4649.36,OK
/home/user/tesi/datasets/clic2020/train/cornelia-schutz-338.png,clic_train,Neural,2,0.30856,27.5264,0.2713,1359.62,OK
/home/user/tesi/datasets/clic2020/train/cosmic-timetraveler-29758.png,clic_train,JPEG,30,0.42566,32.7337,0.15556,280.41,OK
/home/user/tesi/datasets/clic2020/train/cosmic-timetraveler-39770.png,clic_train,Neural,4,0.27265,34.8552,0.19802,7360.31,OK
/home/user/tesi/datasets/clic2020/train/cristian-baron-27348.png,clic_train,HEVC,25,0.08184,43.0826,0.07654,1377.36,OK
/home/user/tesi/datasets/clic2020/train/cristian-moscoso-61.png,clic_train,JPEG,30,0.37385,35.0949,0.1206,313.06,OK
/home/user/tesi/datasets/clic2020/train/cristina-gottardi-177252.png,clic_train,JPEG,30,0.45811,30.5973,0.21962,334.54,OK
/home/user/tesi/datasets/clic2020/train/crucifix-jean-luc-1837.png,clic_train,Neural,4,0.20592,34.5424,0.2598,6688.66,OK
/home/user/tesi/datasets/clic2020/train/dakota-roos-1195.png,clic_train,Neural,2,0.27047,27.5922,0.35169,7316.53,OK
/home/user/tesi/datasets/clic2020/train/dan-carlson-88563.png,clic_train,HEVC,25,0.25336,38.9351,0.08275,1818.57,OK
/home/user/tesi/datasets/clic2020/train/daniel-beilinson-1695.png,clic_train,Neural,4,0.41423,32.6752,0.26235,5593.72,OK
/home/user/tesi/datasets/clic2020/train/daniel-genser-70.png,clic_train,HEVC,25,0.45789,36.4218,0.17412,475.37,OK
/home/user/tesi/datasets/clic2020/train/daniel-robert-159.png,clic_train,Neural,6,0.44953,37.2284,0.24522,114.1,OK
/home/user/tesi/datasets/clic2020/train/daniela-cuevas-21225.png,clic_train,Neural,4,0.46698,32.5917,0.06548,7387.43,OK
/home/user/tesi/datasets/clic2020/train/danka-peter-178.png,clic_train,Neural,4,0.28791,33.1749,0.31229,3138.71,OK
/home/user/tesi/datasets/clic2020/train/danka-peter-336.png,clic_train,HEVC,45,0.18817,18.6987,0.77311,395.73,OK
/home/user/tesi/datasets/clic2020/train/danny-froese-1052.png,clic_train,Neural,4,0.46153,32.4345,0.19195,7351.9,OK
/home/user/tesi/datasets/clic2020/train/davey-heuser-696.png,clic_train,Neural,6,0.27328,37.3699,0.16726,7353.4,OK
/home/user/tesi/datasets/clic2020/train/david-marcu-1263.png,clic_train,Neural,4,0.48666,32.3399,0.21652,7389.62,OK
/home/user/tesi/datasets/clic2020/train/david-marcu-1425.png,clic_train,Neural,2,0.25501,28.33,0.20544,7373.98,OK
/home/user/tesi/datasets/clic2020/train/david-marcu-30865.png,clic_train,JPEG,60,0.43634,38.5575,0.1516,232.81,OK
/home/user/tesi/datasets/clic2020/train/david-marcu-441.png,clic_train,Neural,4,0.38444,32.9729,0.14583,7353.45,OK
/home/user/tesi/datasets/clic2020/train/david-marcu-4655.png,clic_train,JPEG,60,0.46372,39.5897,0.08053,303.08,OK
/home/user/tesi/datasets/clic2020/train/david-marcu-5437.png,clic_train,Neural,4,0.27961,34.2924,0.16587,7393.81,OK
/home/user/tesi/datasets/clic2020/train/davide-ragusa-2178.png,clic_train,HEVC,25,0.48643,34.0956,0.14904,1585.51,OK
/home/user/tesi/datasets/clic2020/train/davide-ragusa-269.png,clic_train,Neural,2,0.45027,24.6213,0.12849,6986.16,OK
/home/user/tesi/datasets/clic2020/train/delfi-de-la-rua-23324.png,clic_train,HEVC,25,0.4023,36.2585,0.19523,2219.31,OK
/home/user/tesi/datasets/clic2020/train/delfi-de-la-rua-85106.png,clic_train,JPEG,30,0.49974,32.4363,0.25959,168.77,OK
/home/user/tesi/datasets/clic2020/train/desi-mendoza-451.png,clic_train,HEVC,25,0.1085,41.4353,0.16451,1673.99,OK
