file,dataset,codec,param,pesq,stoi,sdr,mel_dist,duration_s
6345-93306-0009,librispeech,WavTokenizer,0.9,1.8865,0.8575,2.3237,1.5175,2.57
777-126732-0003,librispeech,WavTokenizer,0.9,1.6956,0.8498,-0.4092,1.4251,9.45
777-126732-0004,librispeech,WavTokenizer,0.9,1.8544,0.8442,0.2175,1.4559,4.25
777-126732-0021,librispeech,WavTokenizer,0.9,1.6916,0.8584,0.3358,1.4174,3.63
7850-286674-0012,librispeech,WavTokenizer,0.9,1.445,0.829,1.0398,1.3584,4.02
7976-110124-0007,librispeech,WavTokenizer,0.9,1.8613,0.8372,4.069,1.6521,2.74
8297-275156-0001,librispeech,WavTokenizer,0.9,1.8999,0.9011,2.9501,1.6008,4.64
84-121123-0027,librispeech,WavTokenizer,0.9,2.2148,0.8525,4.5588,1.4681,3.07
84-121550-0002,librispeech,WavTokenizer,0.9,1.8502,0.8586,4.2469,2.0037,8.27
AM Contra - Heart Peripheral,musdb,WavTokenizer,0.9,1.2124,0.5655,1.7597,0.715,10.0
Al James - Schoolboy Facination,musdb,WavTokenizer,0.9,1.348,0.5605,1.4587,0.7323,10.0
Angels In Amplifiers - I'm Alright,musdb,WavTokenizer,0.9,1.0864,0.5837,1.3023,0.7587,10.0
Arise - Run Run Run,musdb,WavTokenizer,0.9,1.1488,0.7016,2.7593,1.0119,10.0
BKS - Bulldozer,musdb,WavTokenizer,0.9,1.2791,0.6732,3.4524,0.8069,10.0
BKS - Too Much,musdb,WavTokenizer,0.9,1.2743,0.5507,1.6729,0.7415,10.0
Ben Carrigan - We'll Talk About It All Tonight,musdb,WavTokenizer,0.9,1.6254,0.7744,1.5213,1.029,10.0
Bobby Nobody - Stitch Up,musdb,WavTokenizer,0.9,1.0551,0.6259,0.6544,0.8557,10.0
Buitraker - Revo X,musdb,WavTokenizer,0.9,1.2411,0.5738,5.0966,0.8341,10.0
Carlos Gonzalez - A Place For Us,musdb,WavTokenizer,0.9,1.3767,0.415,0.6592,0.6585,10.0
Cristina Vane - So Easy,musdb,WavTokenizer,0.9,1.3249,0.5794,3.0459,0.7601,10.0
Detsky Sad - Walkie Talkie,musdb,WavTokenizer,0.9,1.3498,0.4831,-0.3097,0.7367,10.0
Enda Reilly - Cur An Long Ag Seol,musdb,WavTokenizer,0.9,1.3721,0.5598,3.5516,0.8554,10.0
Forkupines - Semantics,musdb,WavTokenizer,0.9,1.4746,0.6375,0.8192,0.8924,10.0
Georgia Wonder - Siren,musdb,WavTokenizer,0.9,1.2578,0.5285,0.9519,0.7252,10.0
Girls Under Glass - We Feel Alright,musdb,WavTokenizer,0.9,1.2203,0.4938,2.3609,0.6192,10.0
Hollow Ground - Ill Fate,musdb,WavTokenizer,0.9,1.2385,0.6418,2.7874,0.6507,10.0
James Elder & Mark M Thompson - The English Actor,musdb,WavTokenizer,0.9,1.3499,0.4246,0.3901,0.6924,10.0
Juliet's Rescue - Heartbeats,musdb,WavTokenizer,0.9,1.2361,0.6252,2.7377,0.767,10.0
Little Chicago's Finest - My Own,musdb,WavTokenizer,0.9,1.2255,0.7153,0.7675,0.8909,10.0
Louis Cressy Band - Good Time,musdb,WavTokenizer,0.9,,0.5125,1.1613,0.7377,10.0
Lyndsey Ollard - Catching Up,musdb,WavTokenizer,0.9,1.28,0.629,0.8619,0.8994,10.0
M.E.R.C. Music - Knockout,musdb,WavTokenizer,0.9,1.1633,0.6119,0.1148,0.9111,10.0
Moosmusic - Big Dummy Shake,musdb,WavTokenizer,0.9,1.2712,0.5351,1.7856,0.7963,10.0
Motor Tapes - Shore,musdb,WavTokenizer,0.9,1.6197,0.4613,1.4992,0.8101,10.0
