file,dataset,codec,param,kbps,pesq,mel_dist,audio_dist,enc_ms,status
174-168635-0015.flac,librispeech,Opus,48,46.62,4.573,1.7762,-0.073,34.43,OK
174-168635-0015.flac,librispeech,EnCodec,1.5,1.5,1.7753,6.7699,2.7247,17.85,OK
174-168635-0015.flac,librispeech,EnCodec,3.0,3.0,2.3986,5.5597,2.1014,9.74,OK
174-168635-0015.flac,librispeech,EnCodec,6.0,6.0,2.655,5.136,1.845,9.32,OK
174-168635-0008.flac,librispeech,Opus,12,12.1,4.0406,3.0978,0.4594,60.68,OK
174-168635-0008.flac,librispeech,Opus,24,23.63,4.5219,2.2966,-0.0219,72.83,OK
174-168635-0008.flac,librispeech,Opus,48,47.53,4.5739,1.9894,-0.0739,78.93,OK
174-168635-0008.flac,librispeech,EnCodec,1.5,1.5,1.3816,7.0899,3.1184,32.72,OK
174-168635-0008.flac,librispeech,EnCodec,3.0,3.0,1.7551,6.1579,2.7449,21.85,OK
174-168635-0008.flac,librispeech,EnCodec,6.0,6.0,2.2118,5.4792,2.2882,22.0,OK
174-168635-0022.flac,librispeech,Opus,12,11.96,4.0874,3.0116,0.4126,41.76,OK
174-168635-0022.flac,librispeech,Opus,24,23.27,4.5168,2.1807,-0.0168,31.06,OK
174-168635-0022.flac,librispeech,Opus,48,47.28,4.583,1.88,-0.083,37.29,OK
174-168635-0022.flac,librispeech,EnCodec,1.5,1.5,1.5393,7.552,2.9607,19.48,OK
174-168635-0022.flac,librispeech,EnCodec,3.0,3.0,2.328,6.3998,2.172,10.0,OK
174-168635-0022.flac,librispeech,EnCodec,6.0,6.0,3.0541,5.6007,1.4459,10.36,OK
174-168635-0001.flac,librispeech,Opus,12,12.2,4.0793,3.0023,0.4207,33.11,OK
174-168635-0001.flac,librispeech,Opus,24,23.81,4.5344,2.2384,-0.0344,34.53,OK
174-168635-0001.flac,librispeech,Opus,48,47.68,4.5627,1.9413,-0.0627,34.87,OK
174-168635-0001.flac,librispeech,EnCodec,1.5,1.5,1.4408,6.824,3.0592,15.19,OK
174-168635-0001.flac,librispeech,EnCodec,3.0,3.0,1.7807,5.8613,2.7193,10.7,OK
174-168635-0001.flac,librispeech,EnCodec,6.0,6.0,2.2348,5.131,2.2652,10.86,OK
174-168635-0013.flac,librispeech,Opus,12,11.91,4.0587,3.1268,0.4413,38.46,OK
174-168635-0013.flac,librispeech,Opus,24,23.16,4.5002,2.3549,-0.0002,53.27,OK
174-168635-0013.flac,librispeech,Opus,48,47.08,4.5565,2.0516,-0.0565,55.9,OK
174-168635-0013.flac,librispeech,EnCodec,1.5,1.5,1.5924,7.4633,2.9076,26.0,OK
174-168635-0013.flac,librispeech,EnCodec,3.0,3.0,2.138,6.5814,2.362,12.73,OK
174-168635-0013.flac,librispeech,EnCodec,6.0,6.0,2.7904,6.1212,1.7096,13.16,OK
174-168635-0017.flac,librispeech,Opus,12,12.21,4.0939,2.9751,0.4061,43.1,OK
174-168635-0017.flac,librispeech,Opus,24,23.74,4.5506,2.2605,-0.0506,32.51,OK
174-168635-0017.flac,librispeech,Opus,48,47.61,4.5843,1.9889,-0.0843,35.18,OK
174-168635-0017.flac,librispeech,EnCodec,1.5,1.5,1.5247,6.3666,2.9753,18.65,OK
174-168635-0017.flac,librispeech,EnCodec,3.0,3.0,2.3221,5.8284,2.1779,9.85,OK
174-168635-0017.flac,librispeech,EnCodec,6.0,6.0,3.0402,5.1003,1.4598,10.64,OK
174-168635-0010.flac,librispeech,Opus,12,12.09,3.9878,3.0881,0.5122,64.59,OK
174-168635-0010.flac,librispeech,Opus,24,23.64,4.5067,2.2632,-0.0067,72.03,OK
174-168635-0010.flac,librispeech,Opus,48,47.58,4.5694,1.9776,-0.0694,78.28,OK
174-168635-0010.flac,librispeech,EnCodec,1.5,1.5,1.5245,7.4532,2.9755,32.34,OK
174-168635-0010.flac,librispeech,EnCodec,3.0,3.0,2.0554,6.3759,2.4446,21.0,OK
174-168635-0010.flac,librispeech,EnCodec,6.0,6.0,2.6972,5.6584,1.8028,21.24,OK
174-50561-0007.flac,librispeech,Opus,12,11.82,3.571,3.4348,0.929,73.88,OK
174-50561-0007.flac,librispeech,Opus,24,22.78,4.3043,2.4609,0.1957,75.69,OK
174-50561-0007.flac,librispeech,Opus,48,46.15,4.3665,2.1528,0.1335,81.54,OK
174-50561-0007.flac,librispeech,EnCodec,1.5,1.5,1.4155,8.093,3.0845,34.25,OK
174-50561-0007.flac,librispeech,EnCodec,3.0,3.0,1.8527,7.2467,2.6473,22.24,OK
174-50561-0007.flac,librispeech,EnCodec,6.0,6.0,2.4178,6.5747,2.0822,22.66,OK
174-50561-0009.flac,librispeech,Opus,12,11.59,4.0499,3.0396,0.4501,25.59,OK
174-50561-0009.flac,librispeech,Opus,24,21.43,4.5089,2.2499,-0.0089,19.19,OK
174-50561-0009.flac,librispeech,Opus,48,44.04,4.544,1.94,-0.044,19.6,OK
174-50561-0009.flac,librispeech,EnCodec,1.5,1.5,1.5393,8.2849,2.9607,14.83,OK
174-50561-0009.flac,librispeech,EnCodec,3.0,3.0,1.8351,7.5803,2.6649,5.69,OK
174-50561-0009.flac,librispeech,EnCodec,6.0,6.0,2.0367,6.7134,2.4633,5.24,OK
174-50561-0012.flac,librispeech,Opus,12,11.46,3.9784,3.0477,0.5216,19.04,OK
174-50561-0012.flac,librispeech,Opus,24,20.89,4.5005,2.2887,-0.0005,18.77,OK
174-50561-0012.flac,librispeech,Opus,48,42.84,4.53,2.1082,-0.03,20.14,OK
174-50561-0012.flac,librispeech,EnCodec,1.5,1.5,1.719,7.3645,2.781,14.74,OK
174-50561-0012.flac,librispeech,EnCodec,3.0,3.0,2.2688,7.4703,2.2312,5.31,OK
174-50561-0012.flac,librispeech,EnCodec,6.0,6.0,2.7538,6.5601,1.7462,5.62,OK
174-50561-0013.flac,librispeech,Opus,12,11.75,3.9021,3.3053,0.5979,61.23,OK
174-50561-0013.flac,librispeech,Opus,24,22.73,4.488,2.3659,0.012,73.49,OK
174-50561-0013.flac,librispeech,Opus,48,46.34,4.541,2.0716,-0.041,81.0,OK
174-50561-0013.flac,librispeech,EnCodec,1.5,1.5,1.4516,8.206,3.0484,33.24,OK
174-50561-0013.flac,librispeech,EnCodec,3.0,3.0,1.9389,7.4108,2.5611,22.03,OK
174-50561-0013.flac,librispeech,EnCodec,6.0,6.0,2.5823,6.8505,1.9177,22.21,OK
174-50561-0006.flac,librispeech,Opus,12,12.21,3.8659,3.2994,0.6341,46.33,OK
174-50561-0006.flac,librispeech,Opus,24,23.17,4.4757,2.3783,0.0243,35.7,OK
174-50561-0006.flac,librispeech,Opus,48,46.76,4.5465,2.033,-0.0465,41.03,OK
174-50561-0006.flac,librispeech,EnCodec,1.5,1.5,1.3156,7.127,3.1844,21.44,OK
174-50561-0006.flac,librispeech,EnCodec,3.0,3.0,1.6253,6.3756,2.8747,11.19,OK
174-50561-0006.flac,librispeech,EnCodec,6.0,6.0,2.0256,5.6983,2.4744,11.49,OK
174-50561-0005.flac,librispeech,Opus,12,11.77,3.9133,3.289,0.5867,47.12,OK
174-50561-0005.flac,librispeech,Opus,24,22.48,4.4692,2.2591,0.0308,52.17,OK
174-50561-0005.flac,librispeech,Opus,48,46.06,4.5325,1.9007,-0.0325,53.61,OK
174-50561-0005.flac,librispeech,EnCodec,1.5,1.5,1.3121,7.9662,3.1879,25.44,OK
174-50561-0005.flac,librispeech,EnCodec,3.0,3.0,1.5722,6.7115,2.9278,12.32,OK
174-50561-0005.flac,librispeech,EnCodec,6.0,6.0,1.9505,6.1042,2.5495,12.96,OK
174-50561-0003.flac,librispeech,Opus,12,11.78,3.9381,3.2358,0.5619,36.6,OK
174-50561-0003.flac,librispeech,Opus,24,22.48,4.473,2.3665,0.027,26.78,OK
174-50561-0003.flac,librispeech,Opus,48,45.92,4.5327,2.033,-0.0327,29.18,OK
174-50561-0003.flac,librispeech,EnCodec,1.5,1.5,1.516,7.7218,2.984,16.59,OK
174-50561-0003.flac,librispeech,EnCodec,3.0,3.0,2.0864,6.6956,2.4136,7.73,OK
174-50561-0003.flac,librispeech,EnCodec,6.0,6.0,2.6941,5.7741,1.8059,7.9,OK
174-50561-0004.flac,librispeech,Opus,12,11.28,3.7722,3.1817,0.7278,18.51,OK
174-50561-0004.flac,librispeech,Opus,24,21.06,4.4575,2.3526,0.0425,18.76,OK
174-50561-0004.flac,librispeech,Opus,48,43.46,4.5281,2.1741,-0.0281,19.7,OK
174-50561-0004.flac,librispeech,EnCodec,1.5,1.5,1.4501,8.3648,3.0499,14.99,OK
174-50561-0004.flac,librispeech,EnCodec,3.0,3.0,1.9938,7.1449,2.5062,5.56,OK
174-50561-0004.flac,librispeech,EnCodec,6.0,6.0,2.3983,6.5879,2.1017,5.94,OK
174-50561-0019.flac,librispeech,Opus,12,11.85,4.0442,3.1124,0.4558,30.66,OK
174-50561-0019.flac,librispeech,Opus,24,22.54,4.5133,2.407,-0.0133,30.52,OK
174-50561-0019.flac,librispeech,Opus,48,45.73,4.5457,2.118,-0.0457,33.52,OK
174-50561-0019.flac,librispeech,EnCodec,1.5,1.5,1.6328,6.9046,2.8672,18.16,OK
