file,dataset,codec,param,kbps,pesq,mel_dist,audio_dist,enc_ms,status
1-196660-A-8.wav,esc50,Opus,24.0,23.38,4.2458,2.3328,0.2542,23.08,OK
1-196660-B-8.wav,esc50,Opus,24.0,23.66,3.9602,2.4851,0.5398,25.95,OK
1-19840-A-36.wav,esc50,Opus,24.0,20.72,3.6083,3.443,0.8917,35.67,OK
1-19872-A-36.wav,esc50,Opus,12.0,11.58,1.0,3.386,3.5,33.3,OK
1-19872-B-36.wav,esc50,Opus,12.0,11.74,1.0,3.5006,3.5,33.19,OK
1-19898-A-41.wav,esc50,Opus,24.0,22.02,3.8932,3.2384,0.6068,35.34,OK
1-19898-B-41.wav,esc50,Opus,24.0,23.65,4.1751,2.4886,0.3249,25.53,OK
1-19898-C-41.wav,esc50,Opus,24.0,23.8,4.0581,2.2784,0.4419,22.6,OK
1-20133-A-39.wav,esc50,Opus,24.0,17.05,4.0138,1.8799,0.4862,19.63,OK
1-202111-A-3.wav,esc50,Opus,24.0,23.04,3.991,3.1205,0.509,33.29,OK
1-20545-A-28.wav,esc50,Opus,24.0,23.09,3.4114,2.3542,1.0886,31.99,OK
1-20736-A-18.wav,esc50,Opus,24.0,22.8,3.8268,3.3231,0.6732,36.19,OK
1-208757-A-2.wav,esc50,Opus,12.0,12.72,3.2979,3.4967,1.2021,33.43,OK
1-208757-B-2.wav,esc50,Opus,24.0,22.55,4.1874,3.2974,0.3126,35.93,OK
1-208757-C-2.wav,esc50,Opus,24.0,22.57,4.2737,3.1054,0.2263,35.88,OK
1-208757-D-2.wav,esc50,Opus,24.0,22.83,4.2492,3.118,0.2508,36.02,OK
1-208757-E-2.wav,esc50,Opus,24.0,22.38,4.1374,3.2589,0.3626,35.76,OK
1-211527-A-20.wav,esc50,DAC,8.0,8.0,3.9804,3.416,0.5196,16.48,OK
1-211527-B-20.wav,esc50,Opus,12.0,12.76,3.4004,3.2854,1.0996,33.09,OK
1-211527-C-20.wav,esc50,DAC,8.0,8.0,3.9268,3.7938,0.5732,16.59,OK
1-21189-A-10.wav,esc50,Opus,24.0,21.68,3.9149,3.2438,0.5851,35.57,OK
1-21421-A-46.wav,esc50,DAC,8.0,8.0,4.4648,2.5567,0.0352,16.89,OK
1-21896-A-35.wav,esc50,Opus,24.0,23.53,3.1585,3.0024,1.3415,39.33,OK
1-21934-A-38.wav,esc50,Opus,12.0,12.27,3.5868,3.6698,0.9132,33.64,OK
1-21935-A-38.wav,esc50,Opus,24.0,20.73,4.0902,2.4331,0.4098,24.91,OK
1-223162-A-25.wav,esc50,Opus,12.0,4.69,1.0,0.8546,3.5,27.89,OK
1-22694-A-20.wav,esc50,DAC,8.0,8.0,4.2215,2.4897,0.2785,16.25,OK
1-22694-B-20.wav,esc50,Opus,24.0,23.17,4.1327,3.0134,0.3673,33.01,OK
1-22804-A-46.wav,esc50,DAC,8.0,8.0,4.3606,2.7937,0.1394,16.96,OK
1-22882-A-44.wav,esc50,DAC,8.0,8.0,4.5224,1.4617,-0.0224,17.83,OK
1-23094-A-15.wav,esc50,Opus,24.0,23.25,4.2409,3.3597,0.2591,22.85,OK
1-23094-B-15.wav,esc50,Opus,24.0,22.72,4.0688,5.1759,0.4312,34.8,OK
1-23222-A-19.wav,esc50,Opus,24.0,22.44,4.1946,2.9103,0.3054,35.49,OK
1-23222-B-19.wav,esc50,Opus,24.0,21.77,3.7414,3.0949,0.7586,35.47,OK
1-23706-A-49.wav,esc50,Opus,24.0,22.52,4.2228,3.0602,0.2772,36.58,OK
1-23996-A-35.wav,esc50,Opus,24.0,22.31,3.9607,3.0373,0.5393,36.16,OK
1-23996-B-35.wav,esc50,Opus,24.0,22.68,3.7483,3.1627,0.7517,37.1,OK
1-24074-A-43.wav,esc50,Opus,12.0,13.09,3.0091,5.1185,1.4909,33.84,OK
1-24076-A-43.wav,esc50,DAC,8.0,8.0,4.3708,2.3345,0.1292,16.2,OK
1-24524-A-19.wav,esc50,Opus,24.0,22.1,4.2884,2.3826,0.2116,35.3,OK
1-24524-B-19.wav,esc50,Opus,24.0,23.28,4.2933,2.0487,0.2067,35.5,OK
1-24524-C-19.wav,esc50,Opus,24.0,22.93,4.2786,2.5035,0.2214,35.91,OK
1-24796-A-47.wav,esc50,Opus,24.0,22.77,4.1268,2.9422,0.3732,36.37,OK
1-254507-A-43.wav,esc50,Opus,24.0,23.96,4.3546,2.0999,0.1454,21.89,OK
