codec,family,seq,profile,preset,param,n_frames,is_neural,is_round_trip,actual_mbps,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,time_encode_s,energy_encode_cpu_j,energy_encode_gpu_j,energy_encode_total_j,idle_cpu_w_encode,idle_gpu_w_encode,time_decode_s,energy_decode_cpu_j,energy_decode_gpu_j,energy_decode_total_j,idle_cpu_w_decode,idle_gpu_w_decode,energy_total_cpu_j,energy_total_gpu_j,energy_total_j,energy_total_kj,energy_per_frame_j,bitstream_path,codec_label,reference_preset
x264,AVC,YachtRide,LDP,medium,crf=32,600,0,1,5.76,50.167,31.2,40.179,39.063,33.305,0.84519,0.92026,1.449,143.109,0.0,143.109,24.28,35.98,0.211,11.77,0.0,11.77,24.49,36.16,154.879,0.0,154.879,0.1549,0.258,/home/user/tesi/bitstreams_video/x264_YachtRide_LDP_crf32.264,x264 medium,medium
x264,AVC,YachtRide,LDP,medium,crf=37,600,0,1,2.648,32.038,28.559,39.245,37.985,31.073,0.77002,0.85161,1.272,113.682,0.0,113.682,24.4,36.42,0.18,9.114,0.0,9.114,24.52,36.24,122.796,0.0,122.796,0.1228,0.205,/home/user/tesi/bitstreams_video/x264_YachtRide_LDP_crf37.264,x264 medium,medium
x265,HEVC,Beauty,LDP,medium,crf=22,600,0,1,7.853,83.981,39.098,39.062,41.214,39.358,0.90339,0.9756,6.991,530.066,0.0,530.066,24.5,36.43,0.707,32.221,0.0,32.221,24.78,36.11,562.287,0.0,562.287,0.5623,0.937,/home/user/tesi/bitstreams_video/x265_Beauty_LDP_crf22.265,x265 medium,medium
x265,HEVC,Beauty,LDP,medium,crf=27,600,0,1,3.581,73.995,38.228,38.695,40.537,38.575,0.89456,0.9702,5.059,363.82,0.0,363.82,24.55,36.15,0.528,24.079,0.0,24.079,24.63,36.22,387.899,0.0,387.899,0.3879,0.646,/home/user/tesi/bitstreams_video/x265_Beauty_LDP_crf27.265,x265 medium,medium
x265,HEVC,Beauty,LDP,medium,crf=32,600,0,1,1.821,59.561,36.694,38.163,39.831,37.27,0.87757,0.95832,3.741,272.943,0.0,272.943,24.66,36.04,0.454,21.152,0.0,21.152,24.72,36.56,294.095,0.0,294.095,0.2941,0.49,/home/user/tesi/bitstreams_video/x265_Beauty_LDP_crf32.265,x265 medium,medium
x265,HEVC,Beauty,LDP,medium,crf=37,600,0,1,0.864,40.464,34.414,37.73,38.965,35.398,0.85152,0.9348,2.734,203.644,0.0,203.644,24.52,36.51,0.401,17.891,0.0,17.891,24.67,36.18,221.535,0.0,221.535,0.2215,0.369,/home/user/tesi/bitstreams_video/x265_Beauty_LDP_crf37.265,x265 medium,medium
x265,HEVC,Bosphorus,LDP,medium,crf=22,600,0,1,10.448,89.76,41.643,44.037,44.059,42.244,0.9659,0.98871,7.05,539.568,0.0,539.568,24.51,36.33,0.937,37.866,0.0,37.866,24.66,36.11,577.434,0.0,577.434,0.5774,0.962,/home/user/tesi/bitstreams_video/x265_Bosphorus_LDP_crf22.265,x265 medium,medium
x265,HEVC,Bosphorus,LDP,medium,crf=27,600,0,1,4.301,80.028,38.907,42.003,41.973,39.677,0.94363,0.97732,5.228,368.973,0.0,368.973,24.44,35.72,0.715,29.813,0.0,29.813,24.78,36.01,398.786,0.0,398.786,0.3988,0.665,/home/user/tesi/bitstreams_video/x265_Bosphorus_LDP_crf27.265,x265 medium,medium
x265,HEVC,Bosphorus,LDP,medium,crf=32,600,0,1,1.805,63.863,35.949,40.117,40.104,36.99,0.9058,0.95394,3.897,264.475,0.0,264.475,24.51,36.23,0.555,22.842,0.0,22.842,24.7,35.79,287.317,0.0,287.317,0.2873,0.479,/home/user/tesi/bitstreams_video/x265_Bosphorus_LDP_crf32.265,x265 medium,medium
x265,HEVC,Bosphorus,LDP,medium,crf=37,600,0,1,0.751,44.378,32.973,38.953,38.614,34.426,0.85087,0.91207,2.805,196.256,0.0,196.256,24.48,35.13,0.438,18.561,0.0,18.561,24.97,34.69,214.817,0.0,214.817,0.2148,0.358,/home/user/tesi/bitstreams_video/x265_Bosphorus_LDP_crf37.265,x265 medium,medium
