codec,seq,profile,param,phase,n_frames,time_s,energy_cpu_j,energy_gpu_j,energy_total_j,idle_cpu_w,idle_gpu_w,actual_mbps,bitstream_path
x265,Jockey,LDP,crf=37,encode,600,3.316,254.942,0.0,254.942,24.36,36.44,1.261,/home/user/tesi/bitstreams_video/x265_Jockey_LDP_crf37.265
x265,Jockey,LDP,crf=37,decode,600,0.463,20.496,0.0,20.496,24.52,36.09,1.261,/home/user/tesi/bitstreams_video/x265_Jockey_LDP_crf37.265
x265,Jockey,RA,crf=22,encode,600,9.418,900.936,0.0,900.936,24.65,36.14,7.061,/home/user/tesi/bitstreams_video/x265_Jockey_RA_crf22.265
x265,Jockey,RA,crf=22,decode,600,0.489,29.491,0.0,29.491,24.54,36.21,7.061,/home/user/tesi/bitstreams_video/x265_Jockey_RA_crf22.265
x265,Jockey,RA,crf=27,encode,600,8.1,771.011,0.0,771.011,24.4,36.14,3.976,/home/user/tesi/bitstreams_video/x265_Jockey_RA_crf27.265
x265,Jockey,RA,crf=27,decode,600,0.424,25.652,0.0,25.652,24.65,36.29,3.976,/home/user/tesi/bitstreams_video/x265_Jockey_RA_crf27.265
x265,Jockey,RA,crf=32,encode,600,7.457,670.258,0.0,670.258,24.44,36.15,2.277,/home/user/tesi/bitstreams_video/x265_Jockey_RA_crf32.265
x265,Jockey,RA,crf=32,decode,600,0.386,22.945,0.0,22.945,24.67,36.24,2.277,/home/user/tesi/bitstreams_video/x265_Jockey_RA_crf32.265
x265,Jockey,RA,crf=37,encode,600,6.93,598.402,0.0,598.402,24.45,36.36,1.259,/home/user/tesi/bitstreams_video/x265_Jockey_RA_crf37.265
x265,Jockey,RA,crf=37,decode,600,0.39,20.813,0.0,20.813,24.53,36.43,1.259,/home/user/tesi/bitstreams_video/x265_Jockey_RA_crf37.265
x265,ReadySteadyGo,LDP,crf=22,encode,600,8.024,611.765,0.0,611.765,24.73,36.15,19.174,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_LDP_crf22.265
x265,ReadySteadyGo,LDP,crf=22,decode,600,1.176,44.163,0.0,44.163,24.55,35.89,19.174,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_LDP_crf22.265
x265,ReadySteadyGo,LDP,crf=27,encode,600,6.26,468.49,0.0,468.49,24.4,37.21,9.985,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_LDP_crf27.265
x265,ReadySteadyGo,LDP,crf=27,decode,600,0.896,35.185,0.0,35.185,24.49,36.36,9.985,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_LDP_crf27.265
x265,ReadySteadyGo,LDP,crf=32,encode,600,4.998,367.449,0.0,367.449,24.43,35.9,5.293,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_LDP_crf32.265
x265,ReadySteadyGo,LDP,crf=32,decode,600,0.723,29.685,0.0,29.685,24.55,36.33,5.293,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_LDP_crf32.265
x265,ReadySteadyGo,LDP,crf=37,encode,600,3.939,289.972,0.0,289.972,24.42,36.23,2.672,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_LDP_crf37.265
x265,ReadySteadyGo,LDP,crf=37,decode,600,0.59,25.022,0.0,25.022,24.57,36.56,2.672,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_LDP_crf37.265
x265,ReadySteadyGo,RA,crf=22,encode,600,9.066,868.221,0.0,868.221,24.36,36.42,14.909,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_RA_crf22.265
x265,ReadySteadyGo,RA,crf=22,decode,600,0.754,36.203,0.0,36.203,24.53,37.3,14.909,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_RA_crf22.265
x265,ReadySteadyGo,RA,crf=27,encode,600,7.938,751.741,0.0,751.741,24.42,36.04,8.265,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_RA_crf27.265
x265,ReadySteadyGo,RA,crf=27,decode,600,0.594,30.93,0.0,30.93,24.8,36.41,8.265,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_RA_crf27.265
x265,ReadySteadyGo,RA,crf=32,encode,600,7.159,660.019,0.0,660.019,24.36,36.18,4.481,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_RA_crf32.265
