codec,seq,profile,preset,param,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,n_frames
vvenc,HoneyBee,RA,slow,crf=33,92.077,42.668,43.623,43.974,42.95,0.9685,0.99301,600
vvenc,HoneyBee,RA,slow,crf=39,88.079,41.479,41.536,42.761,41.646,0.96301,0.99065,600
vvenc,HoneyBee,RA,slow,crf=45,79.003,39.448,38.544,40.993,39.529,0.95086,0.98445,600
vvenc,Jockey,LDP,faster,crf=27,95.068,42.359,44.691,44.291,42.892,0.96239,0.98916,600
vvenc,Jockey,LDP,faster,crf=33,83.83,39.997,42.809,42.58,40.671,0.95105,0.98118,600
vvenc,Jockey,LDP,faster,crf=39,67.57,37.246,40.658,40.514,38.081,0.93439,0.96611,600
vvenc,Jockey,LDP,faster,crf=45,46.68,33.585,38.696,38.536,34.843,0.90615,0.92809,600
vvenc,Jockey,LDP,slow,crf=27,96.143,42.783,44.954,44.553,43.276,0.96406,0.98997,600
vvenc,Jockey,LDP,slow,crf=33,87.92,40.756,43.276,43.028,41.355,0.95499,0.98371,600
vvenc,Jockey,LDP,slow,crf=39,73.65,38.233,41.328,41.173,38.988,0.94098,0.97154,600
vvenc,Jockey,LDP,slow,crf=45,52.575,34.443,39.411,39.182,35.657,0.91509,0.93841,600
vvenc,Jockey,RA,faster,crf=27,95.068,42.359,44.691,44.291,42.892,0.96239,0.98916,600
vvenc,Jockey,RA,faster,crf=33,83.83,39.997,42.809,42.58,40.671,0.95105,0.98118,600
vvenc,Jockey,RA,faster,crf=39,67.57,37.246,40.658,40.514,38.081,0.93439,0.96611,600
vvenc,Jockey,RA,faster,crf=45,46.68,33.585,38.696,38.536,34.843,0.90615,0.92809,600
vvenc,Jockey,RA,slow,crf=27,96.143,42.783,44.954,44.553,43.276,0.96406,0.98997,600
vvenc,Jockey,RA,slow,crf=33,87.92,40.756,43.276,43.028,41.355,0.95499,0.98371,600
vvenc,Jockey,RA,slow,crf=39,73.65,38.233,41.328,41.173,38.988,0.94098,0.97154,600
vvenc,Jockey,RA,slow,crf=45,52.575,34.443,39.411,39.182,35.657,0.91509,0.93841,600
vvenc,ReadySteadyGo,LDP,faster,crf=27,99.414,39.936,43.387,43.417,40.803,0.97388,0.99306,600
vvenc,ReadySteadyGo,LDP,faster,crf=33,92.058,35.961,40.567,40.853,37.148,0.94786,0.98256,600
vvenc,ReadySteadyGo,LDP,faster,crf=39,74.988,32.457,38.118,38.604,33.933,0.90595,0.96117,600
vvenc,ReadySteadyGo,LDP,faster,crf=45,52.816,28.874,36.336,36.943,30.815,0.83892,0.91185,600
vvenc,ReadySteadyGo,LDP,slow,crf=27,99.788,40.787,43.997,43.988,41.588,0.97689,0.99392,600
vvenc,ReadySteadyGo,LDP,slow,crf=33,95.378,36.995,41.351,41.566,38.111,0.95597,0.98559,600
vvenc,ReadySteadyGo,LDP,slow,crf=39,81.0,33.551,38.883,39.269,34.932,0.92081,0.96831,600
vvenc,ReadySteadyGo,LDP,slow,crf=45,59.001,29.758,36.985,37.548,31.635,0.85969,0.92621,600
vvenc,ReadySteadyGo,RA,faster,crf=27,99.414,39.936,43.387,43.417,40.803,0.97388,0.99306,600
vvenc,ReadySteadyGo,RA,faster,crf=33,92.058,35.961,40.567,40.853,37.148,0.94786,0.98256,600
vvenc,ReadySteadyGo,RA,faster,crf=39,74.988,32.457,38.118,38.604,33.933,0.90595,0.96117,600
vvenc,ReadySteadyGo,RA,faster,crf=45,52.816,28.874,36.336,36.943,30.815,0.83892,0.91185,600
vvenc,ReadySteadyGo,RA,slow,crf=27,99.788,40.787,43.997,43.988,41.588,0.97689,0.99392,600
vvenc,ReadySteadyGo,RA,slow,crf=33,95.378,36.995,41.351,41.566,38.111,0.95597,0.98559,600
vvenc,ReadySteadyGo,RA,slow,crf=39,81.0,33.551,38.883,39.269,34.932,0.92081,0.96831,600
vvenc,ReadySteadyGo,RA,slow,crf=45,59.001,29.758,36.985,37.548,31.635,0.85969,0.92621,600
vvenc,ShakeNDry,LDP,faster,crf=27,88.571,40.3,43.767,44.148,41.214,0.96019,0.98785,300
vvenc,ShakeNDry,LDP,faster,crf=33,77.661,37.189,42.351,42.884,38.546,0.92886,0.97027,300
vvenc,ShakeNDry,LDP,faster,crf=39,66.979,35.166,40.926,41.665,36.698,0.90229,0.95013,300
vvenc,ShakeNDry,LDP,faster,crf=45,53.025,33.325,39.202,40.369,34.94,0.86892,0.92924,300
vvenc,ShakeNDry,LDP,slow,crf=27,89.612,40.752,43.992,44.348,41.607,0.9633,0.9892,300
vvenc,ShakeNDry,LDP,slow,crf=33,79.6,37.737,42.611,43.125,39.02,0.93503,0.97408,300
vvenc,ShakeNDry,LDP,slow,crf=39,69.159,35.561,41.169,41.927,37.058,0.9074,0.95369,300
vvenc,ShakeNDry,LDP,slow,crf=45,55.987,33.71,39.526,40.645,35.304,0.87647,0.93421,300
vvenc,ShakeNDry,RA,faster,crf=27,88.571,40.3,43.767,44.148,41.214,0.96019,0.98785,300
vvenc,ShakeNDry,RA,faster,crf=33,77.661,37.189,42.351,42.884,38.546,0.92886,0.97027,300
vvenc,ShakeNDry,RA,faster,crf=39,66.979,35.166,40.926,41.665,36.698,0.90229,0.95013,300
vvenc,ShakeNDry,RA,faster,crf=45,53.025,33.325,39.202,40.369,34.94,0.86892,0.92924,300
vvenc,ShakeNDry,RA,slow,crf=27,89.612,40.752,43.992,44.348,41.607,0.9633,0.9892,300
vvenc,ShakeNDry,RA,slow,crf=33,79.6,37.737,42.611,43.125,39.02,0.93503,0.97408,300
vvenc,ShakeNDry,RA,slow,crf=39,69.159,35.561,41.169,41.927,37.058,0.9074,0.95369,300
vvenc,ShakeNDry,RA,slow,crf=45,55.987,33.71,39.526,40.645,35.304,0.87647,0.93421,300
vvenc,YachtRide,LDP,faster,crf=27,89.557,38.608,45.399,44.288,40.167,0.96306,0.98767,600
vvenc,YachtRide,LDP,faster,crf=33,71.88,34.522,43.476,42.329,36.617,0.9223,0.9674,600
vvenc,YachtRide,LDP,faster,crf=39,53.088,31.617,41.709,40.418,33.978,0.86869,0.93371,600
vvenc,YachtRide,LDP,faster,crf=45,37.37,29.626,40.318,38.875,32.118,0.8107,0.88293,600
vvenc,YachtRide,LDP,slow,crf=27,91.982,39.464,46.068,44.92,40.972,0.96723,0.98915,600
vvenc,YachtRide,LDP,slow,crf=33,76.488,35.387,44.206,43.007,37.442,0.93249,0.97228,600
vvenc,YachtRide,LDP,slow,crf=39,58.373,32.349,42.442,41.116,34.707,0.88394,0.94285,600
vvenc,YachtRide,LDP,slow,crf=45,42.151,30.198,41.075,39.544,32.726,0.82774,0.89549,600
vvenc,YachtRide,RA,faster,crf=27,89.557,38.608,45.399,44.288,40.167,0.96306,0.98767,600
vvenc,YachtRide,RA,faster,crf=33,71.88,34.522,43.476,42.329,36.617,0.9223,0.9674,600
vvenc,YachtRide,RA,faster,crf=39,53.088,31.617,41.709,40.418,33.978,0.86869,0.93371,600
vvenc,YachtRide,RA,faster,crf=45,37.37,29.626,40.318,38.875,32.118,0.8107,0.88293,600
vvenc,YachtRide,RA,slow,crf=27,91.982,39.464,46.068,44.92,40.972,0.96723,0.98915,600
vvenc,YachtRide,RA,slow,crf=33,76.488,35.387,44.206,43.007,37.442,0.93249,0.97228,600
vvenc,YachtRide,RA,slow,crf=39,58.373,32.349,42.442,41.116,34.707,0.88394,0.94285,600
vvenc,YachtRide,RA,slow,crf=45,42.151,30.198,41.075,39.544,32.726,0.82774,0.89549,600
