codec,family,seq,profile,preset,param,n_frames,is_neural,is_round_trip,actual_mbps,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,time_encode_s,energy_encode_cpu_j,energy_encode_gpu_j,energy_encode_total_j,idle_cpu_w_encode,idle_gpu_w_encode,time_decode_s,energy_decode_cpu_j,energy_decode_gpu_j,energy_decode_total_j,idle_cpu_w_decode,idle_gpu_w_decode,energy_total_cpu_j,energy_total_gpu_j,energy_total_j,energy_total_kj,energy_per_frame_j,bitstream_path
dcvc_fm,DCVC-FM,Bosphorus,LDP,,q=0,600,1,0,0.096,25.132,29.666,39.555,37.184,31.842,0.79914,0.83125,189.925,3833.205,67573.056,71406.261,22.54,58.7,,,,,,,3833.205,67573.056,71406.261,71.4063,119.01,
dcvc_fm,DCVC-FM,Bosphorus,LDP,,q=21,600,1,0,0.341,53.002,34.239,42.954,41.959,36.294,0.87698,0.92868,179.454,3944.294,68439.678,72383.972,21.14,47.76,,,,,,,3944.294,68439.678,72383.972,72.384,120.64,
dcvc_fm,DCVC-FM,Bosphorus,LDP,,q=42,600,1,0,1.619,79.357,38.737,45.887,45.235,40.443,0.94152,0.97553,179.532,3731.133,67001.591,70732.724,22.34,55.83,,,,,,,3731.133,67001.591,70732.724,70.7327,117.888,
dcvc_fm,DCVC-FM,Bosphorus,LDP,,q=63,600,1,0,7.47,92.842,43.063,47.988,47.334,44.212,0.97383,0.9918,179.658,3878.579,68486.788,72365.367,21.55,50.26,,,,,,,3878.579,68486.788,72365.367,72.3654,120.609,
dcvc_fm,DCVC-FM,HoneyBee,LDP,,q=0,600,1,0,0.092,38.573,33.039,33.812,37.934,33.748,0.88544,0.93673,190.078,3860.722,68014.032,71874.754,22.32,56.91,,,,,,,3860.722,68014.032,71874.754,71.8748,119.791,
dcvc_fm,DCVC-FM,HoneyBee,LDP,,q=21,600,1,0,0.163,69.479,37.451,38.407,40.664,37.972,0.94005,0.97744,179.924,3746.513,66689.668,70436.181,22.17,55.32,,,,,,,3746.513,66689.668,70436.181,70.4362,117.394,
dcvc_fm,DCVC-FM,HoneyBee,LDP,,q=42,600,1,0,0.404,87.165,41.054,41.899,42.795,41.377,0.96141,0.98977,179.67,3731.624,68624.718,72356.342,22.34,56.31,,,,,,,3731.624,68624.718,72356.342,72.3563,120.594,
dcvc_fm,DCVC-FM,HoneyBee,LDP,,q=63,600,1,0,1.641,93.275,42.903,44.088,44.261,43.221,0.96935,0.99352,179.524,3631.313,65641.04,69272.353,22.87,64.17,,,,,,,3631.313,65641.04,69272.353,69.2724,115.454,
dcvc_fm,DCVC-FM,Jockey,LDP,,q=0,600,1,0,0.321,30.421,29.806,33.555,34.061,30.806,0.87384,0.86957,185.576,3817.505,67922.226,71739.731,22.15,55.93,,,,,,,3817.505,67922.226,71739.731,71.7397,119.566,
dcvc_fm,DCVC-FM,Jockey,LDP,,q=21,600,1,0,0.974,55.885,34.897,39.406,39.31,36.013,0.91169,0.93046,180.033,3806.456,68935.173,72741.629,21.97,48.18,,,,,,,3806.456,68935.173,72741.629,72.7416,121.236,
dcvc_fm,DCVC-FM,Jockey,LDP,,q=42,600,1,0,3.108,81.602,39.332,42.705,42.577,40.159,0.9414,0.9712,180.038,3795.308,68747.615,72542.923,22.0,50.2,,,,,,,3795.308,68747.615,72542.923,72.5429,120.905,
dcvc_fm,DCVC-FM,Jockey,LDP,,q=63,600,1,0,9.634,96.265,42.551,44.798,44.476,43.073,0.9607,0.98828,179.579,3921.728,68934.434,72856.162,21.23,48.52,,,,,,,3921.728,68934.434,72856.162,72.8562,121.427,
dcvc_fm,DCVC-FM,ReadySteadyGo,LDP,,q=0,600,1,0,0.376,35.271,26.233,34.349,34.97,28.339,0.76183,0.836,185.647,3903.496,68527.401,72430.897,21.91,52.58,,,,,,,3903.496,68527.401,72430.897,72.4309,120.718,
dcvc_fm,DCVC-FM,ReadySteadyGo,LDP,,q=21,600,1,0,1.324,70.278,31.593,39.191,39.232,33.498,0.87668,0.94238,180.01,3541.274,66756.18,70297.454,23.34,61.0,,,,,,,3541.274,66756.18,70297.454,70.2975,117.162,
dcvc_fm,DCVC-FM,ReadySteadyGo,LDP,,q=42,600,1,0,4.464,96.545,37.214,43.15,42.556,38.624,0.9516,0.98422,180.014,3805.711,68948.119,72753.83,21.92,48.56,,,,,,,3805.711,68948.119,72753.83,72.7538,121.256,
