codec,seq,profile,param,phase,n_frames,time_s,energy_cpu_j,energy_gpu_j,energy_total_j,idle_cpu_w,idle_gpu_w,actual_mbps,bitstream_path
vvenc,Jockey,LDP,crf=45,encode,600,41.949,3136.997,0.0,3136.997,24.63,35.77,0.441,/dev/shm/bitstreams/vvenc_Jockey_LDP_crf45.266
vvenc,Jockey,LDP,crf=45,decode,600,0.999,81.692,0.0,81.692,24.63,35.96,0.441,/dev/shm/bitstreams/vvenc_Jockey_LDP_crf45.266
vvenc,Jockey,RA,crf=27,encode,600,126.88,9895.257,0.0,9895.257,24.61,35.67,4.424,/dev/shm/bitstreams/vvenc_Jockey_RA_crf27.266
vvenc,Jockey,RA,crf=27,decode,600,1.295,119.122,0.0,119.122,24.64,36.31,4.424,/dev/shm/bitstreams/vvenc_Jockey_RA_crf27.266
vvenc,Jockey,RA,crf=33,encode,600,83.63,6426.656,0.0,6426.656,24.77,36.1,2.033,/dev/shm/bitstreams/vvenc_Jockey_RA_crf33.266
vvenc,Jockey,RA,crf=33,decode,600,1.147,103.37,0.0,103.37,24.76,37.19,2.033,/dev/shm/bitstreams/vvenc_Jockey_RA_crf33.266
vvenc,Jockey,RA,crf=39,encode,600,61.259,4707.414,0.0,4707.414,24.79,37.93,1.034,/dev/shm/bitstreams/vvenc_Jockey_RA_crf39.266
vvenc,Jockey,RA,crf=39,decode,600,1.067,90.91,0.0,90.91,24.69,36.74,1.034,/dev/shm/bitstreams/vvenc_Jockey_RA_crf39.266
vvenc,Jockey,RA,crf=45,encode,600,42.016,3146.947,0.0,3146.947,24.64,36.5,0.441,/dev/shm/bitstreams/vvenc_Jockey_RA_crf45.266
vvenc,Jockey,RA,crf=45,decode,600,1.004,81.839,0.0,81.839,24.84,36.65,0.441,/dev/shm/bitstreams/vvenc_Jockey_RA_crf45.266
vvenc,ReadySteadyGo,LDP,crf=27,encode,600,196.115,14705.231,0.0,14705.231,24.58,36.09,9.133,/dev/shm/bitstreams/vvenc_ReadySteadyGo_LDP_crf27.266
vvenc,ReadySteadyGo,LDP,crf=27,decode,600,1.538,138.453,0.0,138.453,24.6,36.21,9.133,/dev/shm/bitstreams/vvenc_ReadySteadyGo_LDP_crf27.266
vvenc,ReadySteadyGo,LDP,crf=33,encode,600,129.918,9479.745,0.0,9479.745,24.79,36.42,4.117,/dev/shm/bitstreams/vvenc_ReadySteadyGo_LDP_crf33.266
vvenc,ReadySteadyGo,LDP,crf=33,decode,600,1.272,113.372,0.0,113.372,24.68,35.72,4.117,/dev/shm/bitstreams/vvenc_ReadySteadyGo_LDP_crf33.266
