codec,seq,profile,preset,param,phase,n_frames,time_s,energy_cpu_j,energy_gpu_j,energy_total_j,idle_cpu_w,idle_gpu_w,actual_mbps,bitstream_path
svtav1,Jockey,RA,p5,crf=27,decode,600,0.469,21.66,0.0,21.66,24.53,36.21,10.266,/home/user/tesi/bitstreams_video/svtav1_Jockey_RA_crf27.ivf
svtav1,Jockey,RA,p5,crf=35,encode,600,5.755,544.978,0.0,544.978,24.6,37.66,6.384,/home/user/tesi/bitstreams_video/svtav1_Jockey_RA_crf35.ivf
svtav1,Jockey,RA,p5,crf=35,decode,600,0.399,19.129,0.0,19.129,24.15,36.73,6.384,/home/user/tesi/bitstreams_video/svtav1_Jockey_RA_crf35.ivf
svtav1,Jockey,RA,p5,crf=43,encode,600,5.794,546.333,0.0,546.333,24.4,36.57,4.004,/home/user/tesi/bitstreams_video/svtav1_Jockey_RA_crf43.ivf
svtav1,Jockey,RA,p5,crf=43,decode,600,0.364,16.33,0.0,16.33,24.86,36.64,4.004,/home/user/tesi/bitstreams_video/svtav1_Jockey_RA_crf43.ivf
svtav1,Jockey,RA,p5,crf=51,encode,600,6.719,645.234,0.0,645.234,24.4,36.34,2.558,/home/user/tesi/bitstreams_video/svtav1_Jockey_RA_crf51.ivf
svtav1,Jockey,RA,p5,crf=51,decode,600,0.348,14.738,0.0,14.738,24.53,36.18,2.558,/home/user/tesi/bitstreams_video/svtav1_Jockey_RA_crf51.ivf
svtav1,ReadySteadyGo,LDP,p5,crf=27,encode,600,22.597,928.11,0.0,928.11,24.59,36.54,39.262,/home/user/tesi/bitstreams_video/svtav1_ReadySteadyGo_LDP_crf27.ivf
svtav1,ReadySteadyGo,LDP,p5,crf=27,decode,600,0.951,41.861,0.0,41.861,24.35,36.95,39.262,/home/user/tesi/bitstreams_video/svtav1_ReadySteadyGo_LDP_crf27.ivf
svtav1,ReadySteadyGo,LDP,p5,crf=35,encode,600,24.109,1041.143,0.0,1041.143,24.45,36.7,21.479,/home/user/tesi/bitstreams_video/svtav1_ReadySteadyGo_LDP_crf35.ivf
svtav1,ReadySteadyGo,LDP,p5,crf=35,decode,600,0.678,31.68,0.0,31.68,24.33,36.71,21.479,/home/user/tesi/bitstreams_video/svtav1_ReadySteadyGo_LDP_crf35.ivf
svtav1,ReadySteadyGo,LDP,p5,crf=43,encode,600,23.203,1027.898,0.0,1027.898,24.46,36.78,11.901,/home/user/tesi/bitstreams_video/svtav1_ReadySteadyGo_LDP_crf43.ivf
svtav1,ReadySteadyGo,LDP,p5,crf=43,decode,600,0.506,24.367,0.0,24.367,24.41,36.6,11.901,/home/user/tesi/bitstreams_video/svtav1_ReadySteadyGo_LDP_crf43.ivf
svtav1,ReadySteadyGo,LDP,p5,crf=51,encode,600,26.251,1147.397,0.0,1147.397,24.46,37.89,6.334,/home/user/tesi/bitstreams_video/svtav1_ReadySteadyGo_LDP_crf51.ivf
svtav1,ReadySteadyGo,LDP,p5,crf=51,decode,600,0.392,19.89,0.0,19.89,24.64,36.49,6.334,/home/user/tesi/bitstreams_video/svtav1_ReadySteadyGo_LDP_crf51.ivf
svtav1,ReadySteadyGo,RA,p5,crf=27,encode,600,7.035,675.071,0.0,675.071,24.44,36.6,26.81,/home/user/tesi/bitstreams_video/svtav1_ReadySteadyGo_RA_crf27.ivf
svtav1,ReadySteadyGo,RA,p5,crf=27,decode,600,0.874,35.23,0.0,35.23,24.62,36.9,26.81,/home/user/tesi/bitstreams_video/svtav1_ReadySteadyGo_RA_crf27.ivf
svtav1,ReadySteadyGo,RA,p5,crf=35,encode,600,7.313,698.296,0.0,698.296,24.62,36.94,16.564,/home/user/tesi/bitstreams_video/svtav1_ReadySteadyGo_RA_crf35.ivf
svtav1,ReadySteadyGo,RA,p5,crf=35,decode,600,0.68,28.492,0.0,28.492,24.5,37.06,16.564,/home/user/tesi/bitstreams_video/svtav1_ReadySteadyGo_RA_crf35.ivf
svtav1,ReadySteadyGo,RA,p5,crf=43,encode,600,7.322,704.448,0.0,704.448,24.41,36.58,10.116,/home/user/tesi/bitstreams_video/svtav1_ReadySteadyGo_RA_crf43.ivf
svtav1,ReadySteadyGo,RA,p5,crf=43,decode,600,0.559,23.739,0.0,23.739,24.49,36.59,10.116,/home/user/tesi/bitstreams_video/svtav1_ReadySteadyGo_RA_crf43.ivf
svtav1,ReadySteadyGo,RA,p5,crf=51,encode,600,8.812,850.882,0.0,850.882,24.4,36.54,6.243,/home/user/tesi/bitstreams_video/svtav1_ReadySteadyGo_RA_crf51.ivf
svtav1,ReadySteadyGo,RA,p5,crf=51,decode,600,0.527,22.216,0.0,22.216,24.69,36.51,6.243,/home/user/tesi/bitstreams_video/svtav1_ReadySteadyGo_RA_crf51.ivf
svtav1,ShakeNDry,LDP,p5,crf=27,encode,300,7.624,350.014,0.0,350.014,24.36,36.74,37.115,/home/user/tesi/bitstreams_video/svtav1_ShakeNDry_LDP_crf27.ivf
svtav1,ShakeNDry,LDP,p5,crf=27,decode,300,0.49,17.426,0.0,17.426,24.41,36.9,37.115,/home/user/tesi/bitstreams_video/svtav1_ShakeNDry_LDP_crf27.ivf
