codec,seq,profile,preset,param,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,n_frames
svtav1,Bosphorus,RA,p10,crf=51,75.417,38.468,44.438,44.068,39.914,0.94574,0.97858,600
svtav1,HoneyBee,LDP,p2,crf=27,93.378,43.224,44.689,44.693,43.59,0.97074,0.99411,600
svtav1,HoneyBee,LDP,p2,crf=35,91.802,42.559,43.622,43.958,42.867,0.96757,0.99298,600
svtav1,HoneyBee,LDP,p2,crf=43,88.656,41.601,41.998,43.007,41.826,0.963,0.99103,600
svtav1,HoneyBee,LDP,p2,crf=51,83.325,40.248,40.055,41.654,40.399,0.95525,0.98752,600
svtav1,HoneyBee,LDP,p10,crf=27,92.838,41.861,43.709,43.692,42.321,0.96088,0.9915,600
svtav1,HoneyBee,LDP,p10,crf=35,90.393,41.702,42.087,43.146,41.931,0.96258,0.99146,600
svtav1,HoneyBee,LDP,p10,crf=43,85.337,40.644,39.961,41.785,40.701,0.95753,0.98898,600
svtav1,HoneyBee,LDP,p10,crf=51,76.897,39.206,37.673,40.125,39.129,0.94816,0.98431,600
svtav1,HoneyBee,RA,p2,crf=27,94.313,43.363,45.24,45.023,43.805,0.97118,0.99428,600
svtav1,HoneyBee,RA,p2,crf=35,93.768,43.138,44.733,44.752,43.539,0.97024,0.99395,600
svtav1,HoneyBee,RA,p2,crf=43,93.0,42.769,44.062,44.359,43.13,0.96877,0.9934,600
svtav1,HoneyBee,RA,p2,crf=51,91.568,42.255,43.244,43.817,42.574,0.96662,0.99253,600
svtav1,HoneyBee,RA,p10,crf=27,92.833,42.784,44.086,43.811,43.075,0.969,0.99357,600
svtav1,HoneyBee,RA,p10,crf=35,91.968,42.58,43.719,43.854,42.882,0.96842,0.99327,600
svtav1,HoneyBee,RA,p10,crf=43,90.912,42.227,43.134,43.714,42.526,0.96686,0.99265,600
svtav1,HoneyBee,RA,p10,crf=51,88.719,41.608,42.072,43.088,41.851,0.96387,0.99144,600
svtav1,Jockey,LDP,p2,crf=27,98.035,43.649,45.276,44.794,43.995,0.96707,0.99216,600
svtav1,Jockey,LDP,p2,crf=35,96.478,42.705,44.31,43.97,43.064,0.96248,0.98969,600
svtav1,Jockey,LDP,p2,crf=43,92.716,41.443,43.138,42.955,41.844,0.956,0.98561,600
svtav1,Jockey,LDP,p2,crf=51,84.105,39.77,41.739,41.65,40.251,0.94608,0.97835,600
svtav1,Jockey,LDP,p10,crf=27,98.508,42.776,44.894,44.437,43.248,0.96185,0.99065,600
svtav1,Jockey,LDP,p10,crf=35,96.737,41.931,43.976,43.696,42.407,0.95859,0.98835,600
svtav1,Jockey,LDP,p10,crf=43,91.82,40.535,42.709,42.557,41.06,0.95139,0.9835,600
svtav1,Jockey,LDP,p10,crf=51,81.851,38.688,41.209,41.134,39.309,0.93964,0.97458,600
svtav1,Jockey,RA,p2,crf=27,96.675,43.154,44.744,44.408,43.51,0.96438,0.99066,600
svtav1,Jockey,RA,p2,crf=35,94.792,42.416,44.043,43.81,42.794,0.9609,0.98846,600
svtav1,Jockey,RA,p2,crf=43,91.077,41.433,43.236,43.086,41.865,0.9561,0.98506,600
svtav1,Jockey,RA,p2,crf=51,84.589,40.269,42.383,42.28,40.785,0.95016,0.9802,600
svtav1,Jockey,RA,p10,crf=27,96.883,42.329,44.524,44.13,42.829,0.96075,0.98948,600
svtav1,Jockey,RA,p10,crf=35,93.718,41.321,43.676,43.41,41.876,0.95608,0.98617,600
svtav1,Jockey,RA,p10,crf=43,87.123,40.007,42.604,42.422,40.634,0.94876,0.98084,600
svtav1,Jockey,RA,p10,crf=51,77.408,38.39,41.455,41.302,39.137,0.93851,0.97198,600
svtav1,ReadySteadyGo,LDP,p2,crf=27,99.945,43.678,45.215,45.02,44.038,0.98483,0.99675,600
svtav1,ReadySteadyGo,LDP,p2,crf=35,99.899,41.485,43.288,43.255,41.932,0.9782,0.99461,600
svtav1,ReadySteadyGo,LDP,p2,crf=43,99.035,38.967,41.29,41.416,39.563,0.9661,0.99029,600
svtav1,ReadySteadyGo,LDP,p2,crf=51,93.83,36.283,39.345,39.615,37.082,0.94508,0.98178,600
svtav1,ReadySteadyGo,LDP,p10,crf=27,99.913,42.166,44.608,44.471,42.76,0.98054,0.99572,600
svtav1,ReadySteadyGo,LDP,p10,crf=35,99.696,40.149,42.719,42.762,40.797,0.97319,0.99325,600
svtav1,ReadySteadyGo,LDP,p10,crf=43,97.95,37.781,40.76,40.981,38.553,0.95966,0.98822,600
svtav1,ReadySteadyGo,LDP,p10,crf=51,89.947,35.029,38.815,39.157,36.018,0.9348,0.97764,600
svtav1,ReadySteadyGo,RA,p2,crf=27,99.96,43.448,45.324,45.106,43.89,0.98426,0.9965,600
svtav1,ReadySteadyGo,RA,p2,crf=35,99.923,41.82,44.089,43.977,42.373,0.97967,0.99493,600
svtav1,ReadySteadyGo,RA,p2,crf=43,99.295,39.927,42.752,42.746,40.633,0.97233,0.9922,600
svtav1,ReadySteadyGo,RA,p2,crf=51,97.157,37.977,41.482,41.563,38.863,0.96185,0.98785,600
svtav1,ReadySteadyGo,RA,p10,crf=27,99.893,41.529,44.247,44.141,42.195,0.97866,0.99502,600
svtav1,ReadySteadyGo,RA,p10,crf=35,99.443,39.742,42.678,42.758,40.486,0.97133,0.99241,600
svtav1,ReadySteadyGo,RA,p10,crf=43,97.165,37.711,41.17,41.419,38.607,0.95963,0.98773,600
svtav1,ReadySteadyGo,RA,p10,crf=51,90.376,35.457,39.7,40.066,36.564,0.94152,0.97945,600
svtav1,ShakeNDry,LDP,p2,crf=27,93.206,42.247,43.657,43.984,42.64,0.97281,0.99349,300
svtav1,ShakeNDry,LDP,p2,crf=35,88.562,40.435,42.468,42.852,40.991,0.96151,0.98889,300
svtav1,ShakeNDry,LDP,p2,crf=43,80.787,38.285,41.056,41.675,39.055,0.94218,0.97973,300
svtav1,ShakeNDry,LDP,p2,crf=51,69.443,36.101,39.672,40.587,37.108,0.91362,0.96371,300
svtav1,ShakeNDry,LDP,p10,crf=27,92.766,40.778,43.058,43.335,41.382,0.9636,0.99085,300
svtav1,ShakeNDry,LDP,p10,crf=35,87.802,39.29,42.115,42.541,40.05,0.95277,0.98592,300
svtav1,ShakeNDry,LDP,p10,crf=43,80.017,37.391,40.418,41.196,38.245,0.93345,0.97649,300
svtav1,ShakeNDry,LDP,p10,crf=51,67.754,35.275,38.524,39.973,36.268,0.90313,0.959,300
svtav1,ShakeNDry,RA,p2,crf=27,91.775,41.67,43.957,44.297,42.284,0.96928,0.99188,300
svtav1,ShakeNDry,RA,p2,crf=35,87.693,40.182,43.503,43.831,41.053,0.95906,0.98728,300
svtav1,ShakeNDry,RA,p2,crf=43,82.119,38.497,42.957,43.294,39.654,0.94367,0.97916,300
svtav1,ShakeNDry,RA,p2,crf=51,76.188,37.015,42.326,42.653,38.383,0.9268,0.96806,300
svtav1,ShakeNDry,RA,p10,crf=27,90.929,40.59,43.11,43.464,41.265,0.96189,0.98952,300
svtav1,ShakeNDry,RA,p10,crf=35,86.118,39.218,42.617,43.085,40.126,0.95137,0.98435,300
svtav1,ShakeNDry,RA,p10,crf=43,79.835,37.658,41.983,42.55,38.81,0.93596,0.97569,300
