codec_a,codec_b,bd_rate,bd_rate_e,bd_volume,pareto_hv,epsilon,bd_rate_n_valid,bd_rate_e_n_valid,bd_volume_n_valid,pareto_hv_n_valid,epsilon_n_valid
svtav1,dcvc_rt,-45.886445066111385,,,-0.34917427340575585,0.4049983067891621,7,0,0,7,7
svtav1,dcvc_rt_cuda,-45.84473076444435,,,-0.25981782776076484,0.36017268485761855,7,0,0,7,7
svtav1,vvenc,-50.26011745699274,,,-0.10316142941703034,0.3283535982511601,7,0,0,7,7
svtav1,x264,84.58508492700678,,,0.09093415701336084,0.1831734296499319,7,0,0,7,7
svtav1,x265,22.393327520347704,,,0.19141869924890267,0.12557071497821362,7,0,0,7,7
vvenc,dcvc_dc,21.327471080996357,,,-0.9849006877456282,0.4721188097100311,7,0,0,7,7
vvenc,dcvc_fm,6.41818383102775,,,-0.9743457311998039,0.46570444413794526,7,0,0,7,7
vvenc,dcvc_rt,16.237945972461823,,,-0.27890518881007903,0.1758066838517332,7,0,0,7,7
vvenc,dcvc_rt_cuda,16.46012612796968,,,-0.18056630217215933,0.15751991026841355,7,0,0,7,7
vvenc,svtav1,239706512.09417012,,,0.10316142941703034,0.3110136824883253,7,0,0,7,7
vvenc,x264,310.8652231190112,,,0.18892474303932796,0.3025585526597267,7,0,0,7,7
vvenc,x265,161.0390491391042,,,0.28922646143872116,0.22679334279810504,7,0,0,7,7
x264,dcvc_dc,-67.68689331711735,,,-0.9886021394441432,0.9903488172566209,7,0,0,7,7
x264,dcvc_fm,-75.5252561190833,,,-0.9797051320517578,0.9839344516845351,7,0,0,7,7
x264,dcvc_rt,-53.06662787387578,,,-0.42953482196037746,0.6704379737409492,7,0,0,7,7
x264,dcvc_rt_cuda,-52.732198028018374,,,-0.3508243131399862,0.6266557278210456,7,0,0,7,7
x264,svtav1,1376352326.309038,,,-0.09093415701336084,0.280321786803467,7,0,0,7,7
x264,vvenc,-74.44786318084883,,,-0.18892474303932796,0.5190311793242476,7,0,0,7,7
x264,x265,-38.90141887987355,,,0.10904577150369676,0.13872767884301646,7,0,0,7,7
x265,dcvc_dc,-49.38433978957173,,,-0.9895227157284955,0.8751820736147167,7,0,0,7,7
x265,dcvc_fm,-55.833714097845125,,,-0.9815603726120442,0.8687677080426308,7,0,0,7,7
x265,dcvc_rt,-10.678947498084105,,,-0.49267822472054607,0.5554918775088102,7,0,0,7,7
x265,dcvc_rt_cuda,-9.81502653334793,,,-0.4230028840947537,0.5118283387396658,7,0,0,7,7
x265,svtav1,143323867.68756485,,,-0.19141869924890267,0.1906311495899493,7,0,0,7,7
x265,vvenc,-59.427104630926166,,,-0.28922646143872116,0.4037940733923338,7,0,0,7,7
x265,x264,75.56093424807163,,,-0.10904577150369676,0.15225612959983334,7,0,0,7,7
