codec_a,codec_b,seq,bd_rate,bd_rate_valid,bd_rate_e,bd_rate_e_valid,bd_rate_e_bins,bd_volume,bd_volume_valid,overlap_d,overlap_e_dec,pareto_hv,pareto_hv_valid,epsilon,epsilon_valid
x264,dcvc_rt_cuda,Bosphorus,-79.79349322288004,True,,False,0,,False,0,0,-0.2897385721359926,True,0.6322137054808861,True
x264,svtav1,Bosphorus,-50.205089345612485,True,,False,0,,False,0,0,-0.08387896219171181,True,0.27634332281412827,True
x264,vvenc,Bosphorus,-78.96554237025691,True,,False,0,,False,0,0,-0.12915181906323406,True,0.5292828579951566,True
x264,x265,Bosphorus,-42.47908952722247,True,,False,0,,False,0,0,0.14519525475456668,True,0.13342370935421607,True
x265,dcvc_dc,Bosphorus,-52.82984704894312,True,,False,0,,False,0,0,-0.9921287921877433,True,0.8878127991789013,True
x265,dcvc_fm,Bosphorus,-65.6612529141804,True,,False,0,,False,0,0,-0.981693545504513,True,0.8827647089203062,True
x265,dcvc_rt,Bosphorus,-62.08442119954096,True,,False,0,,False,0,0,-0.4682192630638589,True,0.5711280566641271,True
x265,dcvc_rt_cuda,Bosphorus,-61.753574386301416,True,,False,0,,False,0,0,-0.39286516109704944,True,0.5273573852015047,True
x265,svtav1,Bosphorus,-20.20447105503276,True,,False,0,,False,0,0,-0.21689538966230423,True,0.22959761295109424,True
x265,vvenc,Bosphorus,-65.03334182236391,True,,False,0,,False,0,0,-0.2555948425468988,True,0.4244265377157752,True
x265,x264,Bosphorus,73.84982118342201,True,,False,0,,False,0,0,-0.14519525475456668,True,0.11518277868361487,True
dcvc_dc,dcvc_fm,HoneyBee,-36.949296598285606,True,,False,0,,False,0,0,0.6073954710601437,True,-0.000821070278255176,True
dcvc_dc,dcvc_rt,HoneyBee,-44.368682817321655,True,,False,0,,False,0,0,0.9842826862737064,True,0.05639436416705701,True
dcvc_dc,dcvc_rt_cuda,HoneyBee,-44.419465498416486,True,,False,0,,False,0,0,0.9862720947468137,True,0.05832222262260811,True
dcvc_dc,svtav1,HoneyBee,-6.393661807884565,True,,False,0,,False,0,0,0.9942718196399815,True,-0.04729559295160535,True
dcvc_dc,vvenc,HoneyBee,-3.9999301260869258,True,,False,0,,False,0,0,0.9907974198438948,True,-0.006679058409935934,True
dcvc_dc,x264,HoneyBee,238.15041312691383,True,,False,0,,False,0,0,0.9909222272406113,True,0.16005367808756604,True
dcvc_dc,x265,HoneyBee,106.27794504172105,True,,False,0,,False,0,0,0.9932260714522492,True,0.14267954307952868,True
dcvc_fm,dcvc_dc,HoneyBee,58.60251290595582,True,,False,0,,False,0,0,-0.6073954710601437,True,0.38298836829318,True
dcvc_fm,dcvc_rt,HoneyBee,424.01987857793904,True,,False,0,,False,0,0,0.9599665501344706,True,0.15402019181189844,True
dcvc_fm,dcvc_rt_cuda,HoneyBee,428.8432076636808,True,,False,0,,False,0,0,0.9650337572766785,True,0.15552378465629088,True
dcvc_fm,svtav1,HoneyBee,10.268439092937953,True,,False,0,,False,0,0,0.9854097955123283,True,0.19594894085832876,True
dcvc_fm,vvenc,HoneyBee,21.83730746782395,True,,False,0,,False,0,0,0.9765601783021843,True,0.2443348141049978,True
dcvc_fm,x264,HoneyBee,340.3720274074898,True,,False,0,,False,0,0,0.9768780742700516,True,0.45529095950202286,True
dcvc_fm,x265,HoneyBee,65.30838612333878,True,,False,0,,False,0,0,0.9827461782826542,True,0.18565883960803345,True
dcvc_rt,dcvc_dc,HoneyBee,79.75486661879097,True,,False,0,,False,0,0,-0.9842826862737064,True,0.31289636551389466,True
dcvc_rt,dcvc_fm,HoneyBee,-80.91675448050265,True,,False,0,,False,0,0,-0.9599665501344706,True,0.3026403571463605,True
dcvc_rt,dcvc_rt_cuda,HoneyBee,2.303687463050985,True,,False,0,,False,0,0,0.126574331196247,True,0.004089942704767369,True
dcvc_rt,svtav1,HoneyBee,24.86787369325134,True,,False,0,,False,0,0,0.6355496581813591,True,0.1254857073758866,True
dcvc_rt,vvenc,HoneyBee,6.009581953598886,True,,False,0,,False,0,0,0.4144940849077703,True,0.17387158062255564,True
dcvc_rt,x264,HoneyBee,-37.13192686095162,True,,False,0,,False,0,0,0.4224348436716315,True,0.3848277260195807,True
dcvc_rt,x265,HoneyBee,-72.5443069124444,True,,False,0,,False,0,0,0.5690148669350116,True,0.14756225000900858,True
dcvc_rt_cuda,dcvc_dc,HoneyBee,79.91910458714815,True,,False,0,,False,0,0,-0.9862720947468137,True,0.3541415921138569,True
dcvc_rt_cuda,dcvc_fm,HoneyBee,-81.09080374847221,True,,False,0,,False,0,0,-0.9650337572766785,True,0.3492766187132188,True
dcvc_rt_cuda,dcvc_rt,HoneyBee,-2.2518127353747697,True,,False,0,,False,0,0,-0.126574331196247,True,0.04750020746333394,True
dcvc_rt_cuda,svtav1,HoneyBee,24.74499191986135,True,,False,0,,False,0,0,0.5827345647881021,True,0.1217086143408133,True
dcvc_rt_cuda,vvenc,HoneyBee,6.180779416248305,True,,False,0,,False,0,0,0.3296442547948691,True,0.17009448758748236,True
dcvc_rt_cuda,x264,HoneyBee,-37.75572179667145,True,,False,0,,False,0,0,0.3387357654379406,True,0.3810506329845074,True
